#,H,OPT_H,H/OPT_H
1,2002,2000,1.001
2,2003,2000,1.0015
3,2008,2000,1.004
4,2004,2000,1.002
5,2002,2000,1.001
6,2005,2000,1.0025
7,2005,2000,1.0025
8,2003,2000,1.0015
9,2004,2000,1.002
10,2012,2000,1.006
11,2005,2000,1.0025
12,2008,2000,1.004
13,2005,2000,1.0025
14,2004,2000,1.002
15,2006,2000,1.003
16,2003,2000,1.0015
17,2003,2000,1.0015
18,2005,2000,1.0025
19,2004,2000,1.002
20,2005,2000,1.0025
21,2003,2000,1.0015
22,2004,2000,1.002
23,2003,2000,1.0015
24,2003,2000,1.0015
25,2004,2000,1.002
26,2007,2000,1.0035
27,2006,2000,1.003
28,2005,2000,1.0025
29,2003,2000,1.0015
30,2009,2000,1.0045
31,2004,2000,1.002
32,2003,2000,1.0015
33,2004,2000,1.002
34,2007,2000,1.0035
35,2003,2000,1.0015
36,2011,2000,1.0055
37,2004,2000,1.002
38,2006,2000,1.003
39,2002,2000,1.001
40,2003,2000,1.0015
41,2006,2000,1.003
42,2007,2000,1.0035
43,2005,2000,1.0025
44,2003,2000,1.0015
45,2005,2000,1.0025
46,2003,2000,1.0015
47,2004,2000,1.002
48,2005,2000,1.0025
49,2003,2000,1.0015
50,2004,2000,1.002
51,2004,2000,1.002
52,2003,2000,1.0015
53,2008,2000,1.004
54,2005,2000,1.0025
55,2007,2000,1.0035
56,2002,2000,1.001
57,2006,2000,1.003
58,2004,2000,1.002
59,2003,2000,1.0015
60,2003,2000,1.0015
61,2005,2000,1.0025
62,2005,2000,1.0025
63,2006,2000,1.003
64,2004,2000,1.002
65,2006,2000,1.003
66,2004,2000,1.002
67,2004,2000,1.002
68,2002,2000,1.001
69,2004,2000,1.002
70,2005,2000,1.0025
71,2006,2000,1.003
72,2003,2000,1.0015
73,2002,2000,1.001
74,2003,2000,1.0015
75,2005,2000,1.0025
76,2006,2000,1.003
77,2001,2000,1.0005
78,2001,2000,1.0005
79,2006,2000,1.003
80,2005,2000,1.0025
81,2006,2000,1.003
82,2002,2000,1.001
83,2002,2000,1.001
84,2003,2000,1.0015
85,2004,2000,1.002
86,2003,2000,1.0015
87,2005,2000,1.0025
88,2003,2000,1.0015
89,2003,2000,1.0015
90,2004,2000,1.002
91,2003,2000,1.0015
92,2003,2000,1.0015
93,2005,2000,1.0025
94,2005,2000,1.0025
95,2006,2000,1.003
96,2001,2000,1.0005
97,2003,2000,1.0015
98,2004,2000,1.002
99,2002,2000,1.001
100,2004,2000,1.002
101,2004,2000,1.002
102,2006,2000,1.003
103,2005,2000,1.0025
104,2002,2000,1.001
105,2003,2000,1.0015
106,2003,2000,1.0015
107,2006,2000,1.003
108,2004,2000,1.002
109,2004,2000,1.002
110,2005,2000,1.0025
111,2004,2000,1.002
112,2004,2000,1.002
113,2004,2000,1.002
114,2005,2000,1.0025
115,2003,2000,1.0015
116,2004,2000,1.002
117,2003,2000,1.0015
118,2003,2000,1.0015
119,2008,2000,1.004
120,2005,2000,1.0025
121,2004,2000,1.002
122,2005,2000,1.0025
123,2002,2000,1.001
124,2006,2000,1.003
125,2006,2000,1.003
126,2009,2000,1.0045
127,2004,2000,1.002
128,2002,2000,1.001
129,2004,2000,1.002
130,2005,2000,1.0025
131,2003,2000,1.0015
132,2003,2000,1.0015
133,2003,2000,1.0015
134,2003,2000,1.0015
135,2004,2000,1.002
136,2005,2000,1.0025
137,2004,2000,1.002
138,2005,2000,1.0025
139,2006,2000,1.003
140,2003,2000,1.0015
141,2004,2000,1.002
142,2004,2000,1.002
143,2007,2000,1.0035
144,2006,2000,1.003
145,2004,2000,1.002
146,2003,2000,1.0015
147,2006,2000,1.003
148,2002,2000,1.001
149,2003,2000,1.0015
150,2002,2000,1.001
151,2004,2000,1.002
152,2006,2000,1.003
153,2002,2000,1.001
154,2001,2000,1.0005
155,2004,2000,1.002
156,2007,2000,1.0035
157,2005,2000,1.0025
158,2004,2000,1.002
159,2002,2000,1.001
160,2003,2000,1.0015
161,2006,2000,1.003
162,2006,2000,1.003
163,2005,2000,1.0025
164,2005,2000,1.0025
165,2004,2000,1.002
166,2008,2000,1.004
167,2004,2000,1.002
168,2003,2000,1.0015
169,2006,2000,1.003
170,2005,2000,1.0025
171,2006,2000,1.003
172,2003,2000,1.0015
173,2007,2000,1.0035
174,2007,2000,1.0035
175,2005,2000,1.0025
176,2005,2000,1.0025
177,2004,2000,1.002
178,2003,2000,1.0015
179,2006,2000,1.003
180,2004,2000,1.002
181,2003,2000,1.0015
182,2003,2000,1.0015
183,2007,2000,1.0035
184,2003,2000,1.0015
185,2004,2000,1.002
186,2003,2000,1.0015
187,2005,2000,1.0025
188,2002,2000,1.001
189,2005,2000,1.0025
190,2002,2000,1.001
191,2003,2000,1.0015
192,2003,2000,1.0015
193,2009,2000,1.0045
194,2002,2000,1.001
195,2002,2000,1.001
196,2002,2000,1.001
197,2002,2000,1.001
198,2004,2000,1.002
199,2003,2000,1.0015
200,2004,2000,1.002
201,2004,2000,1.002
202,2003,2000,1.0015
203,2006,2000,1.003
204,2002,2000,1.001
205,2004,2000,1.002
206,2004,2000,1.002
207,2002,2000,1.001
208,2005,2000,1.0025
209,2006,2000,1.003
210,2003,2000,1.0015
211,2003,2000,1.0015
212,2004,2000,1.002
213,2008,2000,1.004
214,2003,2000,1.0015
215,2005,2000,1.0025
216,2005,2000,1.0025
217,2004,2000,1.002
218,2004,2000,1.002
219,2004,2000,1.002
220,2004,2000,1.002
221,2004,2000,1.002
222,2004,2000,1.002
223,2005,2000,1.0025
224,2007,2000,1.0035
225,2003,2000,1.0015
226,2004,2000,1.002
227,2002,2000,1.001
228,2003,2000,1.0015
229,2007,2000,1.0035
230,2007,2000,1.0035
231,2004,2000,1.002
232,2002,2000,1.001
233,2003,2000,1.0015
234,2003,2000,1.0015
235,2005,2000,1.0025
236,2005,2000,1.0025
237,2005,2000,1.0025
238,2003,2000,1.0015
239,2002,2000,1.001
240,2004,2000,1.002
241,2003,2000,1.0015
242,2005,2000,1.0025
243,2005,2000,1.0025
244,2006,2000,1.003
245,2005,2000,1.0025
246,2007,2000,1.0035
247,2004,2000,1.002
248,2003,2000,1.0015
249,2004,2000,1.002
250,2004,2000,1.002
251,2005,2000,1.0025
252,2005,2000,1.0025
253,2005,2000,1.0025
254,2004,2000,1.002
255,2004,2000,1.002
256,2002,2000,1.001
257,2006,2000,1.003
258,2004,2000,1.002
259,2002,2000,1.001
260,2003,2000,1.0015
261,2008,2000,1.004
262,2009,2000,1.0045
263,2004,2000,1.002
264,2004,2000,1.002
265,2005,2000,1.0025
266,2003,2000,1.0015
267,2005,2000,1.0025
268,2002,2000,1.001
269,2004,2000,1.002
270,2007,2000,1.0035
271,2003,2000,1.0015
272,2006,2000,1.003
273,2004,2000,1.002
274,2004,2000,1.002
275,2004,2000,1.002
276,2005,2000,1.0025
277,2005,2000,1.0025
278,2004,2000,1.002
279,2004,2000,1.002
280,2003,2000,1.0015
281,2003,2000,1.0015
282,2004,2000,1.002
283,2005,2000,1.0025
284,2004,2000,1.002
285,2007,2000,1.0035
286,2005,2000,1.0025
287,2004,2000,1.002
288,2005,2000,1.0025
289,2004,2000,1.002
290,2004,2000,1.002
291,2003,2000,1.0015
292,2004,2000,1.002
293,2005,2000,1.0025
294,2006,2000,1.003
295,2008,2000,1.004
296,2002,2000,1.001
297,2003,2000,1.0015
298,2016,2000,1.008
299,2003,2000,1.0015
300,2001,2000,1.0005
301,2004,2000,1.002
302,2004,2000,1.002
303,2004,2000,1.002
304,2002,2000,1.001
305,2006,2000,1.003
306,2005,2000,1.0025
307,2007,2000,1.0035
308,2005,2000,1.0025
309,2003,2000,1.0015
310,2004,2000,1.002
311,2004,2000,1.002
312,2005,2000,1.0025
313,2001,2000,1.0005
314,2004,2000,1.002
315,2004,2000,1.002
316,2005,2000,1.0025
317,2002,2000,1.001
318,2006,2000,1.003
319,2003,2000,1.0015
320,2006,2000,1.003
321,2004,2000,1.002
322,2005,2000,1.0025
323,2005,2000,1.0025
324,2004,2000,1.002
325,2003,2000,1.0015
326,2004,2000,1.002
327,2004,2000,1.002
328,2005,2000,1.0025
329,2005,2000,1.0025
330,2005,2000,1.0025
331,2004,2000,1.002
332,2003,2000,1.0015
