#,H,OPT_H,H/OPT_H
1,1006,1000,1.006
2,1010,1000,1.01
3,1009,1000,1.009
4,1004,1000,1.004
5,1011,1000,1.011
6,1006,1000,1.006
7,1006,1000,1.006
8,1004,1000,1.004
9,1008,1000,1.008
10,1006,1000,1.006
11,1006,1000,1.006
12,1007,1000,1.007
13,1007,1000,1.007
14,1006,1000,1.006
15,1009,1000,1.009
16,1007,1000,1.007
17,1005,1000,1.005
18,1005,1000,1.005
19,1004,1000,1.004
20,1007,1000,1.007
21,1004,1000,1.004
22,1004,1000,1.004
23,1006,1000,1.006
24,1004,1000,1.004
25,1011,1000,1.011
26,1007,1000,1.007
27,1005,1000,1.005
28,1004,1000,1.004
29,1003,1000,1.003
30,1005,1000,1.005
31,1003,1000,1.003
32,1012,1000,1.012
33,1007,1000,1.007
34,1007,1000,1.007
35,1007,1000,1.007
36,1008,1000,1.008
37,1005,1000,1.005
38,1004,1000,1.004
39,1011,1000,1.011
40,1005,1000,1.005
41,1006,1000,1.006
42,1004,1000,1.004
43,1006,1000,1.006
44,1013,1000,1.013
45,1010,1000,1.01
46,1008,1000,1.008
47,1009,1000,1.009
48,1005,1000,1.005
49,1003,1000,1.003
50,1006,1000,1.006
51,1005,1000,1.005
52,1004,1000,1.004
53,1008,1000,1.008
54,1008,1000,1.008
55,1007,1000,1.007
56,1003,1000,1.003
57,1010,1000,1.01
58,1024,1000,1.024
59,1005,1000,1.005
60,1004,1000,1.004
61,1004,1000,1.004
62,1008,1000,1.008
63,1005,1000,1.005
64,1006,1000,1.006
65,1008,1000,1.008
66,1006,1000,1.006
67,1006,1000,1.006
68,1002,1000,1.002
69,1006,1000,1.006
70,1005,1000,1.005
71,1005,1000,1.005
72,1004,1000,1.004
73,1006,1000,1.006
74,1005,1000,1.005
75,1005,1000,1.005
76,1008,1000,1.008
77,1008,1000,1.008
78,1009,1000,1.009
79,1005,1000,1.005
80,1006,1000,1.006
81,1007,1000,1.007
82,1005,1000,1.005
83,1020,1000,1.02
84,1007,1000,1.007
85,1007,1000,1.007
86,1003,1000,1.003
87,1005,1000,1.005
88,1006,1000,1.006
89,1005,1000,1.005
90,1007,1000,1.007
91,1004,1000,1.004
92,1011,1000,1.011
93,1009,1000,1.009
94,1007,1000,1.007
95,1006,1000,1.006
96,1003,1000,1.003
97,1003,1000,1.003
98,1005,1000,1.005
99,1005,1000,1.005
100,1003,1000,1.003
101,1004,1000,1.004
102,1007,1000,1.007
103,1005,1000,1.005
104,1009,1000,1.009
105,1005,1000,1.005
106,1007,1000,1.007
107,1007,1000,1.007
108,1009,1000,1.009
109,1009,1000,1.009
110,1006,1000,1.006
111,1005,1000,1.005
112,1008,1000,1.008
113,1005,1000,1.005
114,1009,1000,1.009
115,1014,1000,1.014
116,1005,1000,1.005
117,1005,1000,1.005
118,1005,1000,1.005
119,1004,1000,1.004
120,1005,1000,1.005
121,1007,1000,1.007
122,1007,1000,1.007
123,1006,1000,1.006
124,1006,1000,1.006
125,1006,1000,1.006
126,1005,1000,1.005
127,1006,1000,1.006
128,1007,1000,1.007
129,1007,1000,1.007
130,1011,1000,1.011
131,1011,1000,1.011
132,1011,1000,1.011
