#,H,OPT_H,H/OPT_H
1,540,500,1.08
2,581,500,1.162
3,523,500,1.046
4,528,500,1.056
5,525,500,1.05
6,528,500,1.056
7,519,500,1.038
8,534,500,1.068
9,526,500,1.052
10,540,500,1.08
11,549,500,1.098
12,549,500,1.098
13,640,500,1.28
14,526,500,1.052
15,529,500,1.058
16,572,500,1.144
17,520,500,1.04
18,530,500,1.06
19,558,500,1.116
20,533,500,1.066
21,549,500,1.098
22,538,500,1.076
23,529,500,1.058
24,541,500,1.082
25,635,500,1.27
26,573,500,1.146
27,541,500,1.082
28,510,500,1.02
29,609,500,1.218
30,528,500,1.056
31,549,500,1.098
32,548,500,1.096
33,537,500,1.074
34,532,500,1.064
35,528,500,1.056
36,541,500,1.082
37,550,500,1.1
38,568,500,1.136
39,529,500,1.058
40,535,500,1.07
41,534,500,1.068
42,587,500,1.174
43,532,500,1.064
44,550,500,1.1
45,524,500,1.048
46,528,500,1.056
47,518,500,1.036
48,545,500,1.09
49,525,500,1.05
50,537,500,1.074
51,529,500,1.058
52,524,500,1.048
53,520,500,1.04
54,550,500,1.1
55,519,500,1.038
56,514,500,1.028
57,560,500,1.12
58,535,500,1.07
59,533,500,1.066
60,548,500,1.096
61,569,500,1.138
62,555,500,1.11
63,529,500,1.058
64,542,500,1.084
65,547,500,1.094
66,613,500,1.226
67,568,500,1.136
68,565,500,1.13
69,519,500,1.038
70,545,500,1.09
71,518,500,1.036
72,509,500,1.018
73,540,500,1.08
74,536,500,1.072
75,566,500,1.132
76,520,500,1.04
77,554,500,1.108
78,524,500,1.048
79,587,500,1.174
80,529,500,1.058
81,543,500,1.086
82,557,500,1.114
83,536,500,1.072
84,533,500,1.066
85,542,500,1.084
86,552,500,1.104
87,524,500,1.048
88,573,500,1.146
89,533,500,1.066
90,611,500,1.222
91,519,500,1.038
92,547,500,1.094
93,595,500,1.19
94,515,500,1.03
95,540,500,1.08
96,548,500,1.096
97,539,500,1.078
98,515,500,1.03
99,549,500,1.098
100,516,500,1.032
101,532,500,1.064
102,536,500,1.072
103,510,500,1.02
104,582,500,1.164
105,542,500,1.084
106,540,500,1.08
107,532,500,1.064
108,523,500,1.046
109,534,500,1.068
110,533,500,1.066
111,516,500,1.032
112,537,500,1.074
113,544,500,1.088
114,549,500,1.098
115,535,500,1.07
116,519,500,1.038
117,550,500,1.1
118,545,500,1.09
119,541,500,1.082
120,520,500,1.04
121,537,500,1.074
122,517,500,1.034
123,557,500,1.114
124,535,500,1.07
125,553,500,1.106
126,551,500,1.102
127,527,500,1.054
128,560,500,1.12
129,538,500,1.076
130,551,500,1.102
131,539,500,1.078
132,517,500,1.034
133,510,500,1.02
134,571,500,1.142
135,525,500,1.05
136,536,500,1.072
137,574,500,1.148
138,538,500,1.076
139,593,500,1.186
140,547,500,1.094
141,532,500,1.064
142,528,500,1.056
143,542,500,1.084
144,535,500,1.07
145,537,500,1.074
146,547,500,1.094
147,548,500,1.096
148,537,500,1.074
149,535,500,1.07
150,533,500,1.066
151,551,500,1.102
152,535,500,1.07
153,531,500,1.062
154,564,500,1.128
155,568,500,1.136
156,565,500,1.13
157,571,500,1.142
158,535,500,1.07
159,541,500,1.082
160,578,500,1.156
161,553,500,1.106
162,576,500,1.152
163,528,500,1.056
164,526,500,1.052
165,612,500,1.224
166,547,500,1.094
167,644,500,1.288
168,543,500,1.086
169,530,500,1.06
170,520,500,1.04
171,510,500,1.02
172,529,500,1.058
173,546,500,1.092
174,527,500,1.054
175,551,500,1.102
176,533,500,1.066
177,513,500,1.026
178,550,500,1.1
179,588,500,1.176
180,526,500,1.052
181,538,500,1.076
182,523,500,1.046
183,541,500,1.082
184,524,500,1.048
185,536,500,1.072
186,525,500,1.05
187,518,500,1.036
188,539,500,1.078
189,541,500,1.082
190,529,500,1.058
191,526,500,1.052
192,541,500,1.082
193,541,500,1.082
194,547,500,1.094
195,542,500,1.084
196,541,500,1.082
197,567,500,1.134
198,517,500,1.034
199,568,500,1.136
200,535,500,1.07
201,550,500,1.1
202,536,500,1.072
203,539,500,1.078
204,523,500,1.046
205,511,500,1.022
206,532,500,1.064
207,528,500,1.056
208,533,500,1.066
209,528,500,1.056
210,535,500,1.07
211,595,500,1.19
212,535,500,1.07
213,511,500,1.022
214,515,500,1.03
215,544,500,1.088
216,553,500,1.106
217,529,500,1.058
218,530,500,1.06
219,512,500,1.024
220,548,500,1.096
221,536,500,1.072
222,546,500,1.092
223,543,500,1.086
224,544,500,1.088
225,519,500,1.038
226,540,500,1.08
227,548,500,1.096
228,523,500,1.046
229,574,500,1.148
230,591,500,1.182
231,573,500,1.146
232,596,500,1.192
233,535,500,1.07
234,534,500,1.068
235,541,500,1.082
236,536,500,1.072
237,527,500,1.054
238,534,500,1.068
239,574,500,1.148
240,527,500,1.054
241,520,500,1.04
242,534,500,1.068
243,548,500,1.096
244,541,500,1.082
245,612,500,1.224
246,542,500,1.084
247,507,500,1.014
248,551,500,1.102
249,546,500,1.092
250,521,500,1.042
251,608,500,1.216
252,569,500,1.138
253,625,500,1.25
254,566,500,1.132
255,555,500,1.11
256,533,500,1.066
257,568,500,1.136
258,546,500,1.092
259,541,500,1.082
260,526,500,1.052
261,534,500,1.068
262,606,500,1.212
263,529,500,1.058
264,548,500,1.096
265,519,500,1.038
266,533,500,1.066
267,553,500,1.106
268,525,500,1.05
269,528,500,1.056
270,528,500,1.056
271,589,500,1.178
272,536,500,1.072
273,550,500,1.1
274,525,500,1.05
275,547,500,1.094
276,566,500,1.132
277,540,500,1.08
278,597,500,1.194
279,532,500,1.064
280,542,500,1.084
281,537,500,1.074
282,522,500,1.044
283,568,500,1.136
284,518,500,1.036
285,571,500,1.142
286,533,500,1.066
287,561,500,1.122
288,549,500,1.098
289,558,500,1.116
290,551,500,1.102
291,525,500,1.05
292,554,500,1.108
293,516,500,1.032
294,539,500,1.078
295,532,500,1.064
296,538,500,1.076
297,541,500,1.082
298,549,500,1.098
299,541,500,1.082
300,583,500,1.166
301,545,500,1.09
302,544,500,1.088
303,628,500,1.256
304,532,500,1.064
305,531,500,1.062
306,521,500,1.042
307,522,500,1.044
308,573,500,1.146
309,550,500,1.1
310,588,500,1.176
311,528,500,1.056
312,532,500,1.064
313,520,500,1.04
314,540,500,1.08
315,545,500,1.09
316,555,500,1.11
317,540,500,1.08
318,551,500,1.102
319,512,500,1.024
320,596,500,1.192
321,525,500,1.05
322,531,500,1.062
323,532,500,1.064
324,546,500,1.092
325,521,500,1.042
326,559,500,1.118
327,521,500,1.042
328,515,500,1.03
329,550,500,1.1
330,529,500,1.058
331,530,500,1.06
332,517,500,1.034
333,583,500,1.166
334,540,500,1.08
335,646,500,1.292
336,592,500,1.184
337,539,500,1.078
338,541,500,1.082
339,549,500,1.098
340,519,500,1.038
341,547,500,1.094
342,555,500,1.11
343,526,500,1.052
344,514,500,1.028
345,542,500,1.084
346,522,500,1.044
347,532,500,1.064
348,556,500,1.112
349,592,500,1.184
350,545,500,1.09
351,536,500,1.072
352,515,500,1.03
353,531,500,1.062
354,512,500,1.024
355,531,500,1.062
356,548,500,1.096
357,534,500,1.068
358,537,500,1.074
359,599,500,1.198
360,611,500,1.222
361,523,500,1.046
362,543,500,1.086
363,526,500,1.052
364,554,500,1.108
365,605,500,1.21
366,555,500,1.11
367,559,500,1.118
368,508,500,1.016
369,692,500,1.384
370,513,500,1.026
371,517,500,1.034
372,546,500,1.092
373,531,500,1.062
374,542,500,1.084
375,532,500,1.064
376,566,500,1.132
377,514,500,1.028
378,534,500,1.068
379,567,500,1.134
380,554,500,1.108
381,574,500,1.148
382,519,500,1.038
383,544,500,1.088
384,570,500,1.14
385,613,500,1.226
386,540,500,1.08
387,531,500,1.062
388,565,500,1.13
389,557,500,1.114
390,554,500,1.108
391,533,500,1.066
392,520,500,1.04
393,521,500,1.042
394,573,500,1.146
395,534,500,1.068
396,527,500,1.054
397,522,500,1.044
398,530,500,1.06
399,584,500,1.168
400,545,500,1.09
401,552,500,1.104
402,523,500,1.046
403,537,500,1.074
404,561,500,1.122
405,524,500,1.048
406,553,500,1.106
407,547,500,1.094
408,534,500,1.068
409,577,500,1.154
410,550,500,1.1
411,520,500,1.04
412,517,500,1.034
413,527,500,1.054
414,533,500,1.066
415,537,500,1.074
416,528,500,1.056
417,559,500,1.118
418,531,500,1.062
419,531,500,1.062
420,526,500,1.052
421,516,500,1.032
422,518,500,1.036
423,581,500,1.162
424,522,500,1.044
425,527,500,1.054
426,524,500,1.048
427,524,500,1.048
428,707,500,1.414
429,545,500,1.09
430,552,500,1.104
431,520,500,1.04
432,595,500,1.19
433,525,500,1.05
434,511,500,1.022
435,546,500,1.092
436,538,500,1.076
437,541,500,1.082
438,538,500,1.076
439,585,500,1.17
