#,H,OPT_H,H/OPT_H
1,2019,2000,1.0095
2,2020,2000,1.01
3,2017,2000,1.0085
4,2021,2000,1.0105
5,2011,2000,1.0055
6,2016,2000,1.008
7,2019,2000,1.0095
8,2017,2000,1.0085
9,2022,2000,1.011
10,2017,2000,1.0085
11,2018,2000,1.009
12,2027,2000,1.0135
13,2015,2000,1.0075
14,2017,2000,1.0085
15,2033,2000,1.0165
16,2018,2000,1.009
17,2013,2000,1.0065
18,2012,2000,1.006
19,2017,2000,1.0085
20,2009,2000,1.0045
21,2025,2000,1.0125
22,2016,2000,1.008
23,2024,2000,1.012
24,2012,2000,1.006
25,2011,2000,1.0055
26,2010,2000,1.005
27,2016,2000,1.008
28,2018,2000,1.009
29,2013,2000,1.0065
30,2011,2000,1.0055
31,2018,2000,1.009
32,2015,2000,1.0075
33,2019,2000,1.0095
34,2028,2000,1.014
35,2013,2000,1.0065
36,2020,2000,1.01
37,2018,2000,1.009
38,2020,2000,1.01
39,2017,2000,1.0085
40,2014,2000,1.007
41,2016,2000,1.008
42,2009,2000,1.0045
43,2010,2000,1.005
44,2019,2000,1.0095
45,2015,2000,1.0075
46,2017,2000,1.0085
47,2012,2000,1.006
48,2038,2000,1.019
49,2010,2000,1.005
50,2011,2000,1.0055
51,2019,2000,1.0095
52,2019,2000,1.0095
53,2008,2000,1.004
54,2015,2000,1.0075
55,2032,2000,1.016
56,2020,2000,1.01
57,2012,2000,1.006
58,2012,2000,1.006
59,2013,2000,1.0065
60,2011,2000,1.0055
61,2016,2000,1.008
62,2018,2000,1.009
63,2016,2000,1.008
64,2019,2000,1.0095
65,2015,2000,1.0075
66,2017,2000,1.0085
67,2023,2000,1.0115
68,2018,2000,1.009
69,2039,2000,1.0195
70,2013,2000,1.0065
71,2015,2000,1.0075
72,2026,2000,1.013
73,2014,2000,1.007
74,2012,2000,1.006
75,2010,2000,1.005
76,2027,2000,1.0135
77,2020,2000,1.01
78,2018,2000,1.009
79,2016,2000,1.008
80,2022,2000,1.011
81,2011,2000,1.0055
82,2014,2000,1.007
83,2020,2000,1.01
84,2014,2000,1.007
85,2018,2000,1.009
86,2011,2000,1.0055
87,2011,2000,1.0055
88,2015,2000,1.0075
89,2018,2000,1.009
90,2009,2000,1.0045
91,2027,2000,1.0135
92,2011,2000,1.0055
93,2017,2000,1.0085
94,2013,2000,1.0065
95,2016,2000,1.008
96,2011,2000,1.0055
97,2021,2000,1.0105
98,2012,2000,1.006
99,2016,2000,1.008
100,2005,2000,1.0025
101,2020,2000,1.01
102,2014,2000,1.007
103,2011,2000,1.0055
104,2012,2000,1.006
105,2005,2000,1.0025
106,2013,2000,1.0065
107,2015,2000,1.0075
108,2009,2000,1.0045
109,2015,2000,1.0075
110,2020,2000,1.01
111,2024,2000,1.012
112,2018,2000,1.009
113,2024,2000,1.012
114,2029,2000,1.0145
115,2017,2000,1.0085
116,2017,2000,1.0085
117,2013,2000,1.0065
118,2015,2000,1.0075
119,2011,2000,1.0055
120,2018,2000,1.009
121,2015,2000,1.0075
122,2014,2000,1.007
123,2008,2000,1.004
124,2013,2000,1.0065
125,2014,2000,1.007
126,2013,2000,1.0065
127,2011,2000,1.0055
128,2016,2000,1.008
129,2014,2000,1.007
130,2017,2000,1.0085
131,2020,2000,1.01
132,2012,2000,1.006
133,2015,2000,1.0075
134,2020,2000,1.01
135,2015,2000,1.0075
136,2026,2000,1.013
137,2020,2000,1.01
138,2017,2000,1.0085
139,2013,2000,1.0065
140,2024,2000,1.012
141,2014,2000,1.007
142,2018,2000,1.009
143,2016,2000,1.008
144,2020,2000,1.01
145,2020,2000,1.01
146,2015,2000,1.0075
147,2008,2000,1.004
148,2018,2000,1.009
149,2019,2000,1.0095
150,2011,2000,1.0055
151,2014,2000,1.007
152,2011,2000,1.0055
153,2034,2000,1.017
154,2017,2000,1.0085
155,2008,2000,1.004
156,2021,2000,1.0105
157,2013,2000,1.0065
158,2012,2000,1.006
159,2030,2000,1.015
160,2009,2000,1.0045
161,2022,2000,1.011
162,2011,2000,1.0055
163,2027,2000,1.0135
164,2010,2000,1.005
165,2015,2000,1.0075
166,2013,2000,1.0065
167,2016,2000,1.008
168,2019,2000,1.0095
169,2009,2000,1.0045
170,2018,2000,1.009
171,2022,2000,1.011
172,2023,2000,1.0115
173,2011,2000,1.0055
174,2014,2000,1.007
175,2019,2000,1.0095
176,2020,2000,1.01
177,2015,2000,1.0075
178,2011,2000,1.0055
179,2010,2000,1.005
180,2013,2000,1.0065
181,2016,2000,1.008
182,2022,2000,1.011
183,2017,2000,1.0085
184,2012,2000,1.006
185,2011,2000,1.0055
186,2018,2000,1.009
187,2016,2000,1.008
188,2012,2000,1.006
189,2009,2000,1.0045
190,2015,2000,1.0075
191,2009,2000,1.0045
192,2015,2000,1.0075
193,2014,2000,1.007
194,2018,2000,1.009
195,2019,2000,1.0095
196,2007,2000,1.0035
197,2027,2000,1.0135
198,2017,2000,1.0085
199,2016,2000,1.008
200,2017,2000,1.0085
201,2018,2000,1.009
202,2013,2000,1.0065
203,2021,2000,1.0105
204,2013,2000,1.0065
205,2019,2000,1.0095
206,2014,2000,1.007
207,2015,2000,1.0075
208,2013,2000,1.0065
209,2012,2000,1.006
210,2041,2000,1.0205
211,2024,2000,1.012
212,2026,2000,1.013
213,2017,2000,1.0085
214,2012,2000,1.006
215,2010,2000,1.005
216,2022,2000,1.011
217,2020,2000,1.01
218,2016,2000,1.008
219,2035,2000,1.0175
220,2015,2000,1.0075
221,2023,2000,1.0115
222,2012,2000,1.006
223,2013,2000,1.0065
224,2015,2000,1.0075
225,2014,2000,1.007
226,2020,2000,1.01
227,2023,2000,1.0115
228,2016,2000,1.008
229,2022,2000,1.011
230,2014,2000,1.007
231,2018,2000,1.009
232,2020,2000,1.01
233,2015,2000,1.0075
234,2020,2000,1.01
235,2017,2000,1.0085
236,2014,2000,1.007
237,2015,2000,1.0075
238,2021,2000,1.0105
239,2015,2000,1.0075
240,2016,2000,1.008
241,2018,2000,1.009
242,2013,2000,1.0065
243,2023,2000,1.0115
244,2016,2000,1.008
245,2017,2000,1.0085
246,2011,2000,1.0055
247,2015,2000,1.0075
248,2017,2000,1.0085
249,2013,2000,1.0065
250,2014,2000,1.007
251,2021,2000,1.0105
252,2013,2000,1.0065
253,2017,2000,1.0085
254,2020,2000,1.01
255,2034,2000,1.017
256,2022,2000,1.011
257,2013,2000,1.0065
258,2012,2000,1.006
259,2013,2000,1.0065
260,2018,2000,1.009
261,2013,2000,1.0065
262,2015,2000,1.0075
263,2015,2000,1.0075
264,2014,2000,1.007
265,2020,2000,1.01
266,2017,2000,1.0085
267,2013,2000,1.0065
268,2013,2000,1.0065
269,2020,2000,1.01
270,2012,2000,1.006
271,2015,2000,1.0075
272,2017,2000,1.0085
273,2015,2000,1.0075
274,2017,2000,1.0085
275,2020,2000,1.01
276,2019,2000,1.0095
277,2025,2000,1.0125
278,2019,2000,1.0095
279,2015,2000,1.0075
280,2009,2000,1.0045
281,2010,2000,1.005
282,2017,2000,1.0085
283,2010,2000,1.005
284,2013,2000,1.0065
285,2016,2000,1.008
286,2011,2000,1.0055
287,2012,2000,1.006
288,2016,2000,1.008
289,2022,2000,1.011
290,2019,2000,1.0095
291,2015,2000,1.0075
292,2017,2000,1.0085
293,2030,2000,1.015
294,2013,2000,1.0065
295,2011,2000,1.0055
296,2015,2000,1.0075
297,2015,2000,1.0075
298,2018,2000,1.009
299,2035,2000,1.0175
300,2017,2000,1.0085
301,2012,2000,1.006
302,2025,2000,1.0125
303,2015,2000,1.0075
304,2020,2000,1.01
305,2015,2000,1.0075
306,2021,2000,1.0105
307,2031,2000,1.0155
308,2019,2000,1.0095
309,2012,2000,1.006
310,2015,2000,1.0075
311,2018,2000,1.009
312,2013,2000,1.0065
313,2052,2000,1.026
314,2016,2000,1.008
315,2020,2000,1.01
316,2041,2000,1.0205
317,2026,2000,1.013
318,2023,2000,1.0115
319,2030,2000,1.015
320,2013,2000,1.0065
321,2013,2000,1.0065
322,2014,2000,1.007
323,2022,2000,1.011
324,2011,2000,1.0055
325,2013,2000,1.0065
326,2007,2000,1.0035
327,2012,2000,1.006
328,2011,2000,1.0055
329,2021,2000,1.0105
330,2017,2000,1.0085
331,2007,2000,1.0035
332,2025,2000,1.0125
333,2020,2000,1.01
334,2017,2000,1.0085
335,2017,2000,1.0085
336,2017,2000,1.0085
337,2013,2000,1.0065
338,2016,2000,1.008
339,2010,2000,1.005
340,2009,2000,1.0045
341,2017,2000,1.0085
342,2011,2000,1.0055
343,2018,2000,1.009
344,2020,2000,1.01
345,2011,2000,1.0055
346,2012,2000,1.006
347,2014,2000,1.007
348,2027,2000,1.0135
349,2016,2000,1.008
350,2012,2000,1.006
351,2016,2000,1.008
352,2035,2000,1.0175
353,2025,2000,1.0125
354,2017,2000,1.0085
355,2023,2000,1.0115
356,2016,2000,1.008
357,2016,2000,1.008
358,2017,2000,1.0085
359,2022,2000,1.011
360,2016,2000,1.008
361,2016,2000,1.008
362,2015,2000,1.0075
363,2010,2000,1.005
364,2013,2000,1.0065
365,2008,2000,1.004
366,2012,2000,1.006
367,2013,2000,1.0065
368,2010,2000,1.005
369,2015,2000,1.0075
370,2008,2000,1.004
371,2024,2000,1.012
372,2012,2000,1.006
373,2016,2000,1.008
374,2015,2000,1.0075
375,2018,2000,1.009
376,2025,2000,1.0125
377,2027,2000,1.0135
378,2020,2000,1.01
379,2017,2000,1.0085
380,2010,2000,1.005
381,2018,2000,1.009
382,2016,2000,1.008
383,2013,2000,1.0065
384,2012,2000,1.006
385,2017,2000,1.0085
386,2017,2000,1.0085
387,2012,2000,1.006
388,2021,2000,1.0105
389,2018,2000,1.009
390,2015,2000,1.0075
391,2017,2000,1.0085
392,2013,2000,1.0065
393,2018,2000,1.009
394,2015,2000,1.0075
395,2018,2000,1.009
396,2017,2000,1.0085
397,2011,2000,1.0055
398,2019,2000,1.0095
399,2011,2000,1.0055
400,2012,2000,1.006
401,2020,2000,1.01
402,2014,2000,1.007
403,2012,2000,1.006
404,2014,2000,1.007
405,2019,2000,1.0095
406,2009,2000,1.0045
407,2017,2000,1.0085
408,2013,2000,1.0065
409,2007,2000,1.0035
410,2010,2000,1.005
411,2040,2000,1.02
412,2013,2000,1.0065
413,2009,2000,1.0045
414,2023,2000,1.0115
415,2027,2000,1.0135
416,2008,2000,1.004
417,2023,2000,1.0115
418,2017,2000,1.0085
419,2013,2000,1.0065
420,2015,2000,1.0075
421,2020,2000,1.01
422,2016,2000,1.008
423,2020,2000,1.01
424,2015,2000,1.0075
425,2010,2000,1.005
426,2014,2000,1.007
427,2017,2000,1.0085
428,2017,2000,1.0085
429,2021,2000,1.0105
430,2027,2000,1.0135
431,2021,2000,1.0105
432,2015,2000,1.0075
433,2013,2000,1.0065
434,2013,2000,1.0065
435,2012,2000,1.006
436,2010,2000,1.005
437,2021,2000,1.0105
438,2010,2000,1.005
439,2011,2000,1.0055
440,2016,2000,1.008
441,2035,2000,1.0175
442,2013,2000,1.0065
443,2036,2000,1.018
444,2015,2000,1.0075
445,2016,2000,1.008
446,2014,2000,1.007
447,2017,2000,1.0085
448,2013,2000,1.0065
449,2023,2000,1.0115
450,2011,2000,1.0055
451,2016,2000,1.008
452,2018,2000,1.009
453,2028,2000,1.014
454,2026,2000,1.013
455,2023,2000,1.0115
456,2018,2000,1.009
457,2018,2000,1.009
458,2013,2000,1.0065
459,2028,2000,1.014
460,2016,2000,1.008
461,2049,2000,1.0245
462,2012,2000,1.006
463,2017,2000,1.0085
464,2018,2000,1.009
465,2018,2000,1.009
466,2026,2000,1.013
467,2060,2000,1.03
468,2009,2000,1.0045
469,2007,2000,1.0035
470,2019,2000,1.0095
471,2014,2000,1.007
472,2018,2000,1.009
473,2012,2000,1.006
474,2031,2000,1.0155
475,2012,2000,1.006
476,2019,2000,1.0095
477,2016,2000,1.008
478,2015,2000,1.0075
479,2015,2000,1.0075
480,2016,2000,1.008
481,2016,2000,1.008
482,2026,2000,1.013
483,2023,2000,1.0115
484,2013,2000,1.0065
485,2007,2000,1.0035
486,2025,2000,1.0125
487,2016,2000,1.008
488,2014,2000,1.007
489,2009,2000,1.0045
490,2024,2000,1.012
491,2011,2000,1.0055
492,2014,2000,1.007
493,2024,2000,1.012
494,2015,2000,1.0075
495,2013,2000,1.0065
496,2020,2000,1.01
497,2015,2000,1.0075
498,2015,2000,1.0075
499,2011,2000,1.0055
500,2014,2000,1.007
501,2015,2000,1.0075
502,2016,2000,1.008
503,2016,2000,1.008
504,2007,2000,1.0035
505,2023,2000,1.0115
506,2021,2000,1.0105
507,2010,2000,1.005
508,2022,2000,1.011
509,2011,2000,1.0055
510,2015,2000,1.0075
511,2011,2000,1.0055
512,2013,2000,1.0065
513,2023,2000,1.0115
514,2022,2000,1.011
515,2013,2000,1.0065
516,2011,2000,1.0055
517,2014,2000,1.007
518,2024,2000,1.012
519,2040,2000,1.02
520,2015,2000,1.0075
521,2012,2000,1.006
522,2021,2000,1.0105
523,2013,2000,1.0065
524,2015,2000,1.0075
525,2013,2000,1.0065
526,2020,2000,1.01
527,2021,2000,1.0105
528,2019,2000,1.0095
529,2017,2000,1.0085
530,2010,2000,1.005
531,2023,2000,1.0115
532,2006,2000,1.003
533,2009,2000,1.0045
534,2014,2000,1.007
535,2025,2000,1.0125
536,2019,2000,1.0095
537,2009,2000,1.0045
538,2022,2000,1.011
539,2028,2000,1.014
540,2008,2000,1.004
541,2020,2000,1.01
542,2008,2000,1.004
543,2014,2000,1.007
544,2020,2000,1.01
545,2018,2000,1.009
546,2014,2000,1.007
547,2014,2000,1.007
548,2025,2000,1.0125
549,2023,2000,1.0115
550,2018,2000,1.009
551,2017,2000,1.0085
552,2015,2000,1.0075
553,2014,2000,1.007
554,2020,2000,1.01
555,2011,2000,1.0055
556,2023,2000,1.0115
557,2011,2000,1.0055
558,2017,2000,1.0085
559,2022,2000,1.011
560,2039,2000,1.0195
561,2011,2000,1.0055
562,2014,2000,1.007
563,2016,2000,1.008
564,2010,2000,1.005
565,2012,2000,1.006
566,2013,2000,1.0065
567,2016,2000,1.008
568,2015,2000,1.0075
569,2018,2000,1.009
570,2046,2000,1.023
571,2018,2000,1.009
572,2027,2000,1.0135
573,2016,2000,1.008
574,2011,2000,1.0055
575,2027,2000,1.0135
576,2015,2000,1.0075
577,2016,2000,1.008
578,2046,2000,1.023
579,2016,2000,1.008
580,2022,2000,1.011
581,2017,2000,1.0085
582,2011,2000,1.0055
583,2017,2000,1.0085
584,2020,2000,1.01
585,2010,2000,1.005
586,2014,2000,1.007
587,2008,2000,1.004
588,2026,2000,1.013
589,2013,2000,1.0065
590,2022,2000,1.011
591,2017,2000,1.0085
592,2015,2000,1.0075
593,2016,2000,1.008
594,2017,2000,1.0085
595,2018,2000,1.009
596,2025,2000,1.0125
597,2013,2000,1.0065
598,2012,2000,1.006
599,2017,2000,1.0085
600,2012,2000,1.006
601,2021,2000,1.0105
602,2022,2000,1.011
603,2018,2000,1.009
604,2014,2000,1.007
605,2018,2000,1.009
606,2014,2000,1.007
607,2021,2000,1.0105
608,2014,2000,1.007
609,2008,2000,1.004
610,2019,2000,1.0095
611,2022,2000,1.011
612,2017,2000,1.0085
613,2016,2000,1.008
614,2010,2000,1.005
615,2026,2000,1.013
616,2011,2000,1.0055
617,2020,2000,1.01
618,2014,2000,1.007
619,2017,2000,1.0085
620,2012,2000,1.006
621,2023,2000,1.0115
622,2013,2000,1.0065
623,2018,2000,1.009
624,2018,2000,1.009
625,2014,2000,1.007
626,2018,2000,1.009
627,2006,2000,1.003
628,2018,2000,1.009
629,2017,2000,1.0085
630,2019,2000,1.0095
631,2018,2000,1.009
632,2018,2000,1.009
633,2011,2000,1.0055
634,2014,2000,1.007
635,2013,2000,1.0065
636,2021,2000,1.0105
637,2016,2000,1.008
638,2016,2000,1.008
639,2011,2000,1.0055
640,2017,2000,1.0085
641,2010,2000,1.005
642,2012,2000,1.006
643,2010,2000,1.005
644,2009,2000,1.0045
645,2011,2000,1.0055
646,2018,2000,1.009
647,2026,2000,1.013
648,2028,2000,1.014
649,2016,2000,1.008
650,2012,2000,1.006
651,2027,2000,1.0135
652,2015,2000,1.0075
653,2017,2000,1.0085
654,2014,2000,1.007
655,2014,2000,1.007
656,2014,2000,1.007
657,2020,2000,1.01
658,2020,2000,1.01
659,2015,2000,1.0075
660,2014,2000,1.007
661,2010,2000,1.005
662,2016,2000,1.008
663,2021,2000,1.0105
664,2017,2000,1.0085
665,2023,2000,1.0115
666,2018,2000,1.009
667,2010,2000,1.005
668,2009,2000,1.0045
669,2019,2000,1.0095
670,2021,2000,1.0105
671,2019,2000,1.0095
672,2007,2000,1.0035
673,2023,2000,1.0115
674,2014,2000,1.007
675,2015,2000,1.0075
676,2020,2000,1.01
677,2042,2000,1.021
678,2013,2000,1.0065
679,2012,2000,1.006
680,2012,2000,1.006
681,2014,2000,1.007
682,2025,2000,1.0125
683,2020,2000,1.01
684,2030,2000,1.015
685,2013,2000,1.0065
686,2028,2000,1.014
687,2017,2000,1.0085
688,2014,2000,1.007
689,2017,2000,1.0085
690,2015,2000,1.0075
691,2022,2000,1.011
692,2016,2000,1.008
693,2006,2000,1.003
694,2014,2000,1.007
695,2015,2000,1.0075
696,2020,2000,1.01
697,2024,2000,1.012
698,2023,2000,1.0115
699,2020,2000,1.01
700,2022,2000,1.011
701,2011,2000,1.0055
702,2017,2000,1.0085
703,2006,2000,1.003
704,2009,2000,1.0045
705,2011,2000,1.0055
706,2022,2000,1.011
707,2022,2000,1.011
708,2011,2000,1.0055
709,2017,2000,1.0085
710,2018,2000,1.009
711,2009,2000,1.0045
712,2016,2000,1.008
713,2026,2000,1.013
714,2016,2000,1.008
715,2014,2000,1.007
716,2016,2000,1.008
717,2021,2000,1.0105
718,2007,2000,1.0035
719,2020,2000,1.01
720,2021,2000,1.0105
721,2018,2000,1.009
722,2017,2000,1.0085
723,2011,2000,1.0055
724,2019,2000,1.0095
725,2024,2000,1.012
726,2010,2000,1.005
727,2018,2000,1.009
728,2013,2000,1.0065
729,2012,2000,1.006
730,2020,2000,1.01
731,2012,2000,1.006
732,2010,2000,1.005
733,2008,2000,1.004
734,2012,2000,1.006
735,2019,2000,1.0095
736,2017,2000,1.0085
737,2015,2000,1.0075
738,2032,2000,1.016
739,2026,2000,1.013
740,2024,2000,1.012
741,2017,2000,1.0085
742,2019,2000,1.0095
743,2020,2000,1.01
744,2017,2000,1.0085
745,2008,2000,1.004
746,2015,2000,1.0075
747,2015,2000,1.0075
748,2017,2000,1.0085
749,2012,2000,1.006
750,2013,2000,1.0065
751,2019,2000,1.0095
752,2019,2000,1.0095
753,2016,2000,1.008
754,2008,2000,1.004
755,2019,2000,1.0095
756,2016,2000,1.008
757,2015,2000,1.0075
758,2038,2000,1.019
759,2028,2000,1.014
760,2011,2000,1.0055
761,2013,2000,1.0065
762,2014,2000,1.007
763,2016,2000,1.008
764,2009,2000,1.0045
765,2017,2000,1.0085
766,2013,2000,1.0065
767,2013,2000,1.0065
768,2015,2000,1.0075
769,2026,2000,1.013
770,2010,2000,1.005
771,2014,2000,1.007
772,2009,2000,1.0045
773,2012,2000,1.006
774,2011,2000,1.0055
775,2018,2000,1.009
776,2019,2000,1.0095
777,2009,2000,1.0045
778,2014,2000,1.007
779,2013,2000,1.0065
780,2015,2000,1.0075
781,2014,2000,1.007
782,2013,2000,1.0065
