#,H,OPT_H,H/OPT_H
1,1089,1000,1.089
2,1022,1000,1.022
3,1021,1000,1.021
4,1017,1000,1.017
5,1021,1000,1.021
6,1031,1000,1.031
7,1022,1000,1.022
8,1036,1000,1.036
9,1016,1000,1.016
10,1050,1000,1.05
11,1026,1000,1.026
12,1019,1000,1.019
13,1037,1000,1.037
14,1013,1000,1.013
15,1010,1000,1.01
16,1032,1000,1.032
17,1026,1000,1.026
18,1018,1000,1.018
19,1023,1000,1.023
20,1036,1000,1.036
21,1023,1000,1.023
22,1027,1000,1.027
23,1018,1000,1.018
24,1035,1000,1.035
25,1020,1000,1.02
26,1016,1000,1.016
27,1016,1000,1.016
28,1029,1000,1.029
29,1043,1000,1.043
30,1016,1000,1.016
31,1022,1000,1.022
32,1025,1000,1.025
33,1021,1000,1.021
34,1039,1000,1.039
35,1021,1000,1.021
36,1025,1000,1.025
37,1028,1000,1.028
38,1016,1000,1.016
39,1020,1000,1.02
40,1031,1000,1.031
41,1021,1000,1.021
42,1041,1000,1.041
43,1022,1000,1.022
44,1026,1000,1.026
45,1025,1000,1.025
46,1022,1000,1.022
47,1022,1000,1.022
48,1023,1000,1.023
49,1055,1000,1.055
50,1018,1000,1.018
51,1021,1000,1.021
52,1019,1000,1.019
53,1025,1000,1.025
54,1018,1000,1.018
55,1013,1000,1.013
56,1027,1000,1.027
57,1012,1000,1.012
58,1024,1000,1.024
59,1020,1000,1.02
60,1032,1000,1.032
61,1034,1000,1.034
62,1005,1000,1.005
63,1026,1000,1.026
64,1026,1000,1.026
65,1015,1000,1.015
66,1026,1000,1.026
67,1015,1000,1.015
68,1040,1000,1.04
69,1011,1000,1.011
70,1012,1000,1.012
71,1012,1000,1.012
72,1025,1000,1.025
73,1029,1000,1.029
74,1032,1000,1.032
75,1017,1000,1.017
76,1033,1000,1.033
77,1022,1000,1.022
78,1019,1000,1.019
79,1022,1000,1.022
80,1032,1000,1.032
81,1011,1000,1.011
82,1022,1000,1.022
83,1013,1000,1.013
84,1023,1000,1.023
85,1014,1000,1.014
86,1020,1000,1.02
87,1014,1000,1.014
88,1022,1000,1.022
89,1010,1000,1.01
90,1023,1000,1.023
91,1024,1000,1.024
92,1021,1000,1.021
93,1070,1000,1.07
94,1020,1000,1.02
95,1025,1000,1.025
96,1026,1000,1.026
97,1066,1000,1.066
98,1019,1000,1.019
99,1023,1000,1.023
100,1022,1000,1.022
101,1029,1000,1.029
102,1019,1000,1.019
103,1019,1000,1.019
104,1017,1000,1.017
105,1022,1000,1.022
106,1025,1000,1.025
107,1022,1000,1.022
108,1028,1000,1.028
109,1017,1000,1.017
110,1022,1000,1.022
111,1016,1000,1.016
112,1032,1000,1.032
113,1022,1000,1.022
114,1019,1000,1.019
115,1027,1000,1.027
116,1060,1000,1.06
117,1039,1000,1.039
118,1021,1000,1.021
119,1017,1000,1.017
120,1012,1000,1.012
121,1020,1000,1.02
122,1026,1000,1.026
123,1021,1000,1.021
124,1024,1000,1.024
125,1058,1000,1.058
126,1060,1000,1.06
127,1026,1000,1.026
128,1030,1000,1.03
129,1022,1000,1.022
130,1016,1000,1.016
131,1029,1000,1.029
132,1024,1000,1.024
133,1023,1000,1.023
134,1009,1000,1.009
135,1022,1000,1.022
136,1026,1000,1.026
137,1013,1000,1.013
138,1023,1000,1.023
139,1045,1000,1.045
140,1023,1000,1.023
141,1017,1000,1.017
142,1025,1000,1.025
143,1020,1000,1.02
144,1021,1000,1.021
145,1041,1000,1.041
146,1035,1000,1.035
