#,H,OPT_H,H/OPT_H
1,201,200,1.005
2,201,200,1.005
3,200,200,1
4,201,200,1.005
5,201,200,1.005
6,200,200,1
7,201,200,1.005
8,201,200,1.005
9,201,200,1.005
10,201,200,1.005
11,200,200,1
12,201,200,1.005
13,200,200,1
14,200,200,1
15,200,200,1
16,201,200,1.005
17,201,200,1.005
18,201,200,1.005
19,200,200,1
20,201,200,1.005
21,201,200,1.005
22,201,200,1.005
23,201,200,1.005
24,201,200,1.005
25,200,200,1
26,201,200,1.005
27,201,200,1.005
28,201,200,1.005
29,201,200,1.005
30,200,200,1
31,201,200,1.005
32,201,200,1.005
33,200,200,1
34,201,200,1.005
35,201,200,1.005
36,200,200,1
37,201,200,1.005
38,201,200,1.005
39,200,200,1
40,201,200,1.005
41,200,200,1
42,200,200,1
43,201,200,1.005
44,201,200,1.005
45,201,200,1.005
46,201,200,1.005
47,200,200,1
48,201,200,1.005
49,201,200,1.005
50,200,200,1
51,201,200,1.005
52,200,200,1
53,201,200,1.005
54,200,200,1
55,201,200,1.005
56,201,200,1.005
57,201,200,1.005
58,201,200,1.005
59,201,200,1.005
60,201,200,1.005
61,200,200,1
62,201,200,1.005
63,201,200,1.005
64,201,200,1.005
65,200,200,1
66,201,200,1.005
67,200,200,1
68,201,200,1.005
69,201,200,1.005
70,200,200,1
71,201,200,1.005
72,201,200,1.005
73,200,200,1
74,201,200,1.005
75,201,200,1.005
76,201,200,1.005
77,201,200,1.005
78,201,200,1.005
79,200,200,1
80,201,200,1.005
81,201,200,1.005
82,201,200,1.005
83,201,200,1.005
84,201,200,1.005
85,201,200,1.005
86,200,200,1
87,200,200,1
88,200,200,1
89,203,200,1.015
90,201,200,1.005
91,201,200,1.005
92,200,200,1
93,201,200,1.005
94,200,200,1
95,200,200,1
96,200,200,1
97,200,200,1
98,200,200,1
99,201,200,1.005
100,201,200,1.005
101,201,200,1.005
102,201,200,1.005
103,201,200,1.005
104,200,200,1
105,201,200,1.005
106,201,200,1.005
107,201,200,1.005
108,201,200,1.005
109,200,200,1
110,200,200,1
111,201,200,1.005
112,201,200,1.005
113,201,200,1.005
114,201,200,1.005
115,200,200,1
116,201,200,1.005
117,200,200,1
118,201,200,1.005
119,201,200,1.005
120,200,200,1
121,200,200,1
122,201,200,1.005
123,200,200,1
124,200,200,1
125,201,200,1.005
126,201,200,1.005
127,201,200,1.005
128,201,200,1.005
129,201,200,1.005
130,201,200,1.005
131,200,200,1
132,201,200,1.005
133,201,200,1.005
134,201,200,1.005
135,200,200,1
136,201,200,1.005
137,201,200,1.005
138,200,200,1
139,201,200,1.005
140,201,200,1.005
141,201,200,1.005
142,200,200,1
143,200,200,1
144,200,200,1
145,200,200,1
146,200,200,1
147,201,200,1.005
148,201,200,1.005
149,201,200,1.005
150,201,200,1.005
151,200,200,1
152,201,200,1.005
153,201,200,1.005
154,201,200,1.005
155,201,200,1.005
156,201,200,1.005
157,200,200,1
158,200,200,1
159,201,200,1.005
160,201,200,1.005
161,201,200,1.005
162,201,200,1.005
163,200,200,1
