#,H,OPT_H,H/OPT_H
1,1001,1000,1.001
2,1001,1000,1.001
3,1001,1000,1.001
4,1001,1000,1.001
5,1001,1000,1.001
6,1001,1000,1.001
7,1001,1000,1.001
8,1001,1000,1.001
9,1001,1000,1.001
10,1001,1000,1.001
11,1002,1000,1.002
12,1001,1000,1.001
13,1002,1000,1.002
14,1001,1000,1.001
15,1001,1000,1.001
16,1002,1000,1.002
17,1001,1000,1.001
18,1001,1000,1.001
19,1001,1000,1.001
20,1001,1000,1.001
21,1001,1000,1.001
22,1001,1000,1.001
23,1001,1000,1.001
24,1001,1000,1.001
25,1001,1000,1.001
26,1002,1000,1.002
27,1001,1000,1.001
28,1001,1000,1.001
29,1001,1000,1.001
30,1002,1000,1.002
31,1001,1000,1.001
32,1000,1000,1
33,1001,1000,1.001
34,1001,1000,1.001
35,1001,1000,1.001
36,1001,1000,1.001
37,1001,1000,1.001
38,1001,1000,1.001
39,1001,1000,1.001
40,1001,1000,1.001
41,1002,1000,1.002
42,1001,1000,1.001
43,1001,1000,1.001
44,1001,1000,1.001
45,1001,1000,1.001
46,1001,1000,1.001
47,1001,1000,1.001
48,1001,1000,1.001
49,1002,1000,1.002
50,1001,1000,1.001
51,1001,1000,1.001
52,1001,1000,1.001
53,1001,1000,1.001
54,1001,1000,1.001
55,1001,1000,1.001
56,1002,1000,1.002
57,1001,1000,1.001
58,1000,1000,1
59,1001,1000,1.001
60,1001,1000,1.001
61,1001,1000,1.001
62,1001,1000,1.001
63,1002,1000,1.002
64,1001,1000,1.001
65,1001,1000,1.001
66,1001,1000,1.001
67,1001,1000,1.001
68,1001,1000,1.001
69,1001,1000,1.001
70,1002,1000,1.002
71,1001,1000,1.001
72,1001,1000,1.001
73,1001,1000,1.001
74,1001,1000,1.001
75,1001,1000,1.001
76,1002,1000,1.002
77,1001,1000,1.001
78,1001,1000,1.001
79,1001,1000,1.001
80,1001,1000,1.001
81,1001,1000,1.001
82,1001,1000,1.001
83,1001,1000,1.001
84,1001,1000,1.001
85,1001,1000,1.001
86,1002,1000,1.002
87,1001,1000,1.001
88,1001,1000,1.001
89,1000,1000,1
90,1001,1000,1.001
91,1002,1000,1.002
92,1001,1000,1.001
93,1001,1000,1.001
94,1001,1000,1.001
95,1002,1000,1.002
96,1001,1000,1.001
97,1002,1000,1.002
98,1000,1000,1
99,1001,1000,1.001
100,1001,1000,1.001
101,1000,1000,1
102,1001,1000,1.001
103,1001,1000,1.001
104,1001,1000,1.001
105,1001,1000,1.001
106,1001,1000,1.001
107,1005,1000,1.005
108,1001,1000,1.001
109,1002,1000,1.002
110,1001,1000,1.001
111,1001,1000,1.001
112,1001,1000,1.001
113,1001,1000,1.001
114,1001,1000,1.001
115,1001,1000,1.001
116,1001,1000,1.001
117,1002,1000,1.002
118,1001,1000,1.001
119,1001,1000,1.001
120,1000,1000,1
121,1001,1000,1.001
122,1002,1000,1.002
123,1001,1000,1.001
124,1001,1000,1.001
125,1002,1000,1.002
126,1001,1000,1.001
127,1001,1000,1.001
128,1001,1000,1.001
129,1000,1000,1
130,1001,1000,1.001
131,1001,1000,1.001
132,1001,1000,1.001
133,1002,1000,1.002
134,1001,1000,1.001
135,1001,1000,1.001
136,1000,1000,1
137,1001,1000,1.001
138,1001,1000,1.001
139,1001,1000,1.001
140,1001,1000,1.001
141,1001,1000,1.001
142,1001,1000,1.001
143,1001,1000,1.001
144,1002,1000,1.002
145,1001,1000,1.001
146,1003,1000,1.003
147,1000,1000,1
148,1001,1000,1.001
149,1002,1000,1.002
150,1002,1000,1.002
151,1001,1000,1.001
152,1001,1000,1.001
153,1001,1000,1.001
154,1001,1000,1.001
155,1001,1000,1.001
156,1001,1000,1.001
157,1001,1000,1.001
158,1001,1000,1.001
159,1001,1000,1.001
160,1001,1000,1.001
161,1001,1000,1.001
162,1000,1000,1
163,1001,1000,1.001
164,1001,1000,1.001
165,1001,1000,1.001
166,1001,1000,1.001
167,1001,1000,1.001
168,1001,1000,1.001
169,1002,1000,1.002
170,1001,1000,1.001
171,1001,1000,1.001
172,1001,1000,1.001
173,1001,1000,1.001
174,1001,1000,1.001
175,1001,1000,1.001
176,1002,1000,1.002
177,1001,1000,1.001
178,1000,1000,1
179,1001,1000,1.001
180,1001,1000,1.001
181,1001,1000,1.001
182,1001,1000,1.001
183,1001,1000,1.001
184,1001,1000,1.001
185,1001,1000,1.001
186,1001,1000,1.001
187,1001,1000,1.001
188,1001,1000,1.001
189,1001,1000,1.001
190,1001,1000,1.001
191,1001,1000,1.001
192,1001,1000,1.001
193,1001,1000,1.001
194,1000,1000,1
195,1001,1000,1.001
196,1001,1000,1.001
197,1001,1000,1.001
198,1001,1000,1.001
199,1001,1000,1.001
200,1002,1000,1.002
201,1001,1000,1.001
202,1001,1000,1.001
203,1001,1000,1.001
204,1001,1000,1.001
205,1002,1000,1.002
206,1001,1000,1.001
207,1001,1000,1.001
208,1001,1000,1.001
209,1001,1000,1.001
210,1001,1000,1.001
211,1001,1000,1.001
212,1001,1000,1.001
213,1001,1000,1.001
214,1001,1000,1.001
215,1001,1000,1.001
216,1001,1000,1.001
217,1001,1000,1.001
218,1003,1000,1.003
219,1002,1000,1.002
220,1001,1000,1.001
221,1001,1000,1.001
222,1000,1000,1
223,1001,1000,1.001
224,1001,1000,1.001
225,1002,1000,1.002
226,1001,1000,1.001
227,1001,1000,1.001
228,1001,1000,1.001
229,1001,1000,1.001
230,1001,1000,1.001
231,1001,1000,1.001
232,1001,1000,1.001
233,1001,1000,1.001
234,1001,1000,1.001
235,1001,1000,1.001
236,1001,1000,1.001
237,1001,1000,1.001
238,1001,1000,1.001
239,1002,1000,1.002
240,1001,1000,1.001
241,1001,1000,1.001
242,1000,1000,1
243,1001,1000,1.001
244,1002,1000,1.002
245,1001,1000,1.001
246,1001,1000,1.001
247,1001,1000,1.001
248,1000,1000,1
249,1001,1000,1.001
250,1001,1000,1.001
251,1001,1000,1.001
252,1001,1000,1.001
253,1001,1000,1.001
254,1003,1000,1.003
255,1001,1000,1.001
256,1000,1000,1
257,1001,1000,1.001
258,1002,1000,1.002
259,1001,1000,1.001
260,1000,1000,1
261,1001,1000,1.001
262,1002,1000,1.002
263,1001,1000,1.001
264,1001,1000,1.001
265,1001,1000,1.001
266,1000,1000,1
267,1000,1000,1
268,1001,1000,1.001
269,1001,1000,1.001
270,1001,1000,1.001
271,1001,1000,1.001
272,1001,1000,1.001
273,1001,1000,1.001
274,1001,1000,1.001
275,1002,1000,1.002
276,1001,1000,1.001
277,1001,1000,1.001
278,1001,1000,1.001
279,1001,1000,1.001
280,1001,1000,1.001
281,1001,1000,1.001
282,1001,1000,1.001
283,1001,1000,1.001
284,1001,1000,1.001
285,1001,1000,1.001
286,1001,1000,1.001
287,1002,1000,1.002
288,1001,1000,1.001
289,1001,1000,1.001
290,1001,1000,1.001
291,1001,1000,1.001
292,1001,1000,1.001
293,1001,1000,1.001
294,1001,1000,1.001
295,1001,1000,1.001
296,1002,1000,1.002
297,1001,1000,1.001
298,1001,1000,1.001
299,1001,1000,1.001
300,1002,1000,1.002
301,1001,1000,1.001
302,1002,1000,1.002
303,1001,1000,1.001
304,1001,1000,1.001
305,1001,1000,1.001
306,1001,1000,1.001
