#,H,OPT_H,H/OPT_H
1,1070,1000,1.07
2,1000,1000,1
3,1097,1000,1.097
4,1000,1000,1
5,1000,1000,1
6,1000,1000,1
7,1000,1000,1
8,1000,1000,1
9,1072,1000,1.072
10,1000,1000,1
11,1062,1000,1.062
12,1181,1000,1.181
13,1000,1000,1
14,1354,1000,1.354
15,1268,1000,1.268
16,1000,1000,1
17,1019,1000,1.019
18,1000,1000,1
19,1000,1000,1
20,1000,1000,1
21,1000,1000,1
22,1000,1000,1
23,1000,1000,1
24,1000,1000,1
25,1000,1000,1
26,1006,1000,1.006
27,1000,1000,1
28,1000,1000,1
29,1399,1000,1.399
30,1000,1000,1
31,1000,1000,1
32,1000,1000,1
33,1000,1000,1
34,1123,1000,1.123
35,1025,1000,1.025
36,1284,1000,1.284
37,1008,1000,1.008
38,1054,1000,1.054
39,1000,1000,1
40,1008,1000,1.008
41,1007,1000,1.007
42,1205,1000,1.205
43,1135,1000,1.135
44,1261,1000,1.261
45,1157,1000,1.157
46,1000,1000,1
47,1000,1000,1
48,1007,1000,1.007
49,1101,1000,1.101
50,1109,1000,1.109
51,1116,1000,1.116
52,1000,1000,1
53,1000,1000,1
54,1000,1000,1
55,1000,1000,1
56,1023,1000,1.023
57,1048,1000,1.048
58,1000,1000,1
59,1128,1000,1.128
60,1084,1000,1.084
61,1000,1000,1
62,1000,1000,1
63,1001,1000,1.001
64,1000,1000,1
65,1080,1000,1.08
66,1010,1000,1.01
67,1000,1000,1
68,1083,1000,1.083
69,1203,1000,1.203
70,1137,1000,1.137
71,1217,1000,1.217
72,1000,1000,1
73,1000,1000,1
74,1234,1000,1.234
75,1165,1000,1.165
76,1000,1000,1
77,1228,1000,1.228
78,1008,1000,1.008
79,1093,1000,1.093
80,1000,1000,1
81,1000,1000,1
82,1357,1000,1.357
83,1017,1000,1.017
84,1089,1000,1.089
85,1000,1000,1
86,1078,1000,1.078
87,1000,1000,1
88,1164,1000,1.164
89,1231,1000,1.231
90,1000,1000,1
91,1000,1000,1
92,1000,1000,1
93,1000,1000,1
94,1336,1000,1.336
95,1307,1000,1.307
96,1129,1000,1.129
97,1017,1000,1.017
98,1125,1000,1.125
99,1210,1000,1.21
100,1000,1000,1
101,1025,1000,1.025
102,1000,1000,1
103,1158,1000,1.158
104,1113,1000,1.113
105,1071,1000,1.071
106,1000,1000,1
107,1000,1000,1
108,1000,1000,1
109,1148,1000,1.148
110,1000,1000,1
111,1033,1000,1.033
112,1028,1000,1.028
113,1012,1000,1.012
114,1000,1000,1
115,1000,1000,1
116,1000,1000,1
117,1000,1000,1
118,1000,1000,1
119,1000,1000,1
120,1522,1000,1.522
121,1000,1000,1
122,1012,1000,1.012
123,1080,1000,1.08
124,1000,1000,1
125,1000,1000,1
126,1425,1000,1.425
127,1000,1000,1
128,1148,1000,1.148
129,1000,1000,1
130,1047,1000,1.047
131,1141,1000,1.141
132,1000,1000,1
133,1076,1000,1.076
134,1000,1000,1
135,1000,1000,1
136,1000,1000,1
137,1252,1000,1.252
138,1000,1000,1
139,1075,1000,1.075
140,1228,1000,1.228
141,1000,1000,1
142,1000,1000,1
143,1000,1000,1
144,1000,1000,1
145,1000,1000,1
146,1025,1000,1.025
147,1000,1000,1
148,1169,1000,1.169
149,1034,1000,1.034
150,1129,1000,1.129
151,1174,1000,1.174
152,1000,1000,1
153,1041,1000,1.041
154,1000,1000,1
155,1000,1000,1
156,1365,1000,1.365
157,1000,1000,1
158,1013,1000,1.013
159,1000,1000,1
160,1153,1000,1.153
161,1133,1000,1.133
162,1000,1000,1
163,1000,1000,1
164,1333,1000,1.333
165,1104,1000,1.104
166,1000,1000,1
167,1115,1000,1.115
168,1000,1000,1
169,1518,1000,1.518
170,1575,1000,1.575
171,1000,1000,1
172,1239,1000,1.239
173,1000,1000,1
174,1000,1000,1
175,1000,1000,1
176,1180,1000,1.18
177,1067,1000,1.067
178,1076,1000,1.076
179,1442,1000,1.442
180,1046,1000,1.046
181,1000,1000,1
182,1095,1000,1.095
183,1267,1000,1.267
184,1164,1000,1.164
185,1293,1000,1.293
186,1000,1000,1
187,1171,1000,1.171
188,1000,1000,1
189,1297,1000,1.297
190,1080,1000,1.08
191,1000,1000,1
192,1086,1000,1.086
193,1425,1000,1.425
194,1000,1000,1
195,1000,1000,1
196,1000,1000,1
197,1014,1000,1.014
198,1097,1000,1.097
199,1051,1000,1.051
200,1000,1000,1
201,1000,1000,1
202,1275,1000,1.275
203,1087,1000,1.087
204,1010,1000,1.01
