#,H,OPT_H,H/OPT_H
1,2045,2000,1.0225
2,2055,2000,1.0275
3,2052,2000,1.026
4,2054,2000,1.027
5,2057,2000,1.0285
6,2035,2000,1.0175
7,2066,2000,1.033
8,2060,2000,1.03
9,2052,2000,1.026
10,2041,2000,1.0205
11,2056,2000,1.028
12,2035,2000,1.0175
13,2050,2000,1.025
14,2042,2000,1.021
15,2038,2000,1.019
16,2059,2000,1.0295
17,2051,2000,1.0255
18,2041,2000,1.0205
19,2058,2000,1.029
20,2076,2000,1.038
21,2084,2000,1.042
22,2046,2000,1.023
23,2046,2000,1.023
24,2030,2000,1.015
25,2051,2000,1.0255
26,2074,2000,1.037
27,2079,2000,1.0395
28,2039,2000,1.0195
29,2042,2000,1.021
30,2035,2000,1.0175
31,2063,2000,1.0315
32,2040,2000,1.02
33,2077,2000,1.0385
34,2034,2000,1.017
35,2015,2000,1.0075
36,2125,2000,1.0625
37,2045,2000,1.0225
38,2139,2000,1.0695
39,2050,2000,1.025
40,2041,2000,1.0205
41,2117,2000,1.0585
42,2029,2000,1.0145
43,2070,2000,1.035
44,2058,2000,1.029
45,2066,2000,1.033
46,2033,2000,1.0165
47,2036,2000,1.018
48,2060,2000,1.03
49,2067,2000,1.0335
50,2043,2000,1.0215
51,2089,2000,1.0445
52,2048,2000,1.024
53,2048,2000,1.024
54,2055,2000,1.0275
55,2067,2000,1.0335
56,2061,2000,1.0305
57,2117,2000,1.0585
58,2101,2000,1.0505
59,2036,2000,1.018
60,2053,2000,1.0265
61,2071,2000,1.0355
62,2151,2000,1.0755
63,2117,2000,1.0585
64,2040,2000,1.02
65,2046,2000,1.023
66,2036,2000,1.018
67,2055,2000,1.0275
68,2041,2000,1.0205
69,2044,2000,1.022
70,2040,2000,1.02
71,2046,2000,1.023
72,2076,2000,1.038
73,2030,2000,1.015
74,2038,2000,1.019
75,2032,2000,1.016
76,2079,2000,1.0395
77,2044,2000,1.022
78,2046,2000,1.023
79,2030,2000,1.015
80,2024,2000,1.012
81,2050,2000,1.025
82,2059,2000,1.0295
83,2059,2000,1.0295
84,2038,2000,1.019
85,2087,2000,1.0435
86,2045,2000,1.0225
87,2045,2000,1.0225
88,2037,2000,1.0185
89,2053,2000,1.0265
90,2080,2000,1.04
91,2046,2000,1.023
92,2071,2000,1.0355
93,2037,2000,1.0185
94,2166,2000,1.083
95,2037,2000,1.0185
96,2087,2000,1.0435
97,2074,2000,1.037
98,2032,2000,1.016
99,2030,2000,1.015
100,2043,2000,1.0215
101,2045,2000,1.0225
102,2040,2000,1.02
103,2036,2000,1.018
104,2039,2000,1.0195
105,2045,2000,1.0225
106,2041,2000,1.0205
107,2030,2000,1.015
108,2063,2000,1.0315
109,2061,2000,1.0305
110,2037,2000,1.0185
