#,H,OPT_H,H/OPT_H
1,5000,5000,1
2,5389,5000,1.0778
3,5000,5000,1
4,5955,5000,1.191
5,5381,5000,1.0762
6,5000,5000,1
7,5000,5000,1
8,5458,5000,1.0916
9,5674,5000,1.1348
10,5629,5000,1.1258
11,5000,5000,1
12,5013,5000,1.0026
13,5985,5000,1.197
14,5667,5000,1.1334
15,5000,5000,1
16,5041,5000,1.0082
17,5000,5000,1
18,5150,5000,1.03
19,5480,5000,1.096
20,5114,5000,1.0228
21,5430,5000,1.086
22,5000,5000,1
23,5500,5000,1.1
24,5354,5000,1.0708
25,5852,5000,1.1704
26,5000,5000,1
27,5000,5000,1
28,5135,5000,1.027
29,5205,5000,1.041
30,5708,5000,1.1416
31,5000,5000,1
32,5000,5000,1
33,5000,5000,1
34,5394,5000,1.0788
35,5000,5000,1
36,5387,5000,1.0774
37,5000,5000,1
38,5000,5000,1
39,5190,5000,1.038
40,5000,5000,1
41,5000,5000,1
42,5000,5000,1
43,5613,5000,1.1226
44,5000,5000,1
45,5000,5000,1
46,5073,5000,1.0146
47,5000,5000,1
48,5000,5000,1
49,5119,5000,1.0238
50,5000,5000,1
51,5710,5000,1.142
52,5105,5000,1.021
53,5000,5000,1
54,6875,5000,1.375
55,5000,5000,1
56,5283,5000,1.0566
57,5038,5000,1.0076
58,5415,5000,1.083
59,5104,5000,1.0208
60,5000,5000,1
61,5000,5000,1
62,5905,5000,1.181
63,5574,5000,1.1148
64,5000,5000,1
65,5863,5000,1.1726
66,5000,5000,1
67,5001,5000,1.0002
68,5000,5000,1
69,5000,5000,1
70,5000,5000,1
71,6695,5000,1.339
72,5434,5000,1.0868
73,5000,5000,1
74,5625,5000,1.125
75,5000,5000,1
76,5000,5000,1
77,5206,5000,1.0412
78,5823,5000,1.1646
79,5563,5000,1.1126
80,5037,5000,1.0074
81,6020,5000,1.204
82,5251,5000,1.0502
83,5000,5000,1
84,7472,5000,1.4944
85,5000,5000,1
86,6399,5000,1.2798
87,5271,5000,1.0542
88,5000,5000,1
89,5654,5000,1.1308
90,5141,5000,1.0282
91,5009,5000,1.0018
92,6393,5000,1.2786
93,5000,5000,1
94,5729,5000,1.1458
95,5000,5000,1
96,5000,5000,1
97,6207,5000,1.2414
98,5000,5000,1
99,5000,5000,1
100,5597,5000,1.1194
101,5498,5000,1.0996
102,5318,5000,1.0636
103,6176,5000,1.2352
104,5082,5000,1.0164
105,5996,5000,1.1992
106,5000,5000,1
107,5276,5000,1.0552
108,5000,5000,1
109,5202,5000,1.0404
110,5641,5000,1.1282
111,5000,5000,1
112,5000,5000,1
113,5000,5000,1
114,6377,5000,1.2754
115,5030,5000,1.006
116,5000,5000,1
117,5000,5000,1
118,5027,5000,1.0054
119,5000,5000,1
120,5350,5000,1.07
121,5000,5000,1
122,5589,5000,1.1178
123,6029,5000,1.2058
124,5000,5000,1
125,5000,5000,1
126,5718,5000,1.1436
127,5000,5000,1
128,5946,5000,1.1892
129,5000,5000,1
130,5469,5000,1.0938
131,5000,5000,1
132,6060,5000,1.212
133,6540,5000,1.308
134,5000,5000,1
135,6184,5000,1.2368
136,5407,5000,1.0814
137,5000,5000,1
138,5000,5000,1
139,5000,5000,1
140,5548,5000,1.1096
141,5000,5000,1
142,5000,5000,1
143,6824,5000,1.3648
144,5000,5000,1
145,5255,5000,1.051
146,5000,5000,1
147,5000,5000,1
148,5340,5000,1.068
149,5000,5000,1
150,5000,5000,1
151,5000,5000,1
152,5549,5000,1.1098
153,5447,5000,1.0894
154,5823,5000,1.1646
155,6796,5000,1.3592
156,5000,5000,1
157,5000,5000,1
158,6471,5000,1.2942
159,6534,5000,1.3068
160,6100,5000,1.22
161,5000,5000,1
162,5561,5000,1.1122
163,5000,5000,1
164,5000,5000,1
165,5000,5000,1
166,5000,5000,1
167,5000,5000,1
168,5000,5000,1
169,6163,5000,1.2326
170,5881,5000,1.1762
171,5000,5000,1
172,5000,5000,1
173,5861,5000,1.1722
174,5000,5000,1
175,5000,5000,1
176,5000,5000,1
177,5000,5000,1
178,5000,5000,1
179,5315,5000,1.063
180,5000,5000,1
181,6314,5000,1.2628
182,5000,5000,1
183,5000,5000,1
184,5498,5000,1.0996
185,6869,5000,1.3738
186,5000,5000,1
187,5000,5000,1
188,6004,5000,1.2008
189,5000,5000,1
190,7099,5000,1.4198
191,5000,5000,1
192,5447,5000,1.0894
193,5000,5000,1
194,6995,5000,1.399
195,5446,5000,1.0892
196,5843,5000,1.1686
197,5000,5000,1
198,5237,5000,1.0474
199,5000,5000,1
200,5000,5000,1
201,5000,5000,1
202,6012,5000,1.2024
203,5000,5000,1
204,5093,5000,1.0186
205,7044,5000,1.4088
206,5124,5000,1.0248
207,5000,5000,1
208,5720,5000,1.144
209,5000,5000,1
210,5288,5000,1.0576
211,5584,5000,1.1168
212,5890,5000,1.178
213,5000,5000,1
214,5422,5000,1.0844
215,5382,5000,1.0764
216,5394,5000,1.0788
217,5000,5000,1
218,5000,5000,1
219,5000,5000,1
220,5000,5000,1
221,5123,5000,1.0246
222,5000,5000,1
223,5000,5000,1
224,5000,5000,1
225,5000,5000,1
226,5000,5000,1
227,6066,5000,1.2132
228,5338,5000,1.0676
229,5000,5000,1
230,5353,5000,1.0706
231,6032,5000,1.2064
232,5157,5000,1.0314
233,5000,5000,1
234,5053,5000,1.0106
235,6153,5000,1.2306
236,5918,5000,1.1836
237,5000,5000,1
238,5000,5000,1
239,5000,5000,1
240,5118,5000,1.0236
241,5000,5000,1
242,5948,5000,1.1896
243,5245,5000,1.049
244,5000,5000,1
245,5000,5000,1
246,5122,5000,1.0244
247,5000,5000,1
248,5895,5000,1.179
249,5603,5000,1.1206
250,5000,5000,1
251,5136,5000,1.0272
252,5452,5000,1.0904
253,5000,5000,1
254,5372,5000,1.0744
255,6325,5000,1.265
256,5000,5000,1
257,6777,5000,1.3554
258,5043,5000,1.0086
259,5000,5000,1
260,5000,5000,1
261,5000,5000,1
262,5000,5000,1
263,5000,5000,1
264,6043,5000,1.2086
265,5195,5000,1.039
266,5000,5000,1
267,5000,5000,1
268,5000,5000,1
269,5250,5000,1.05
270,5000,5000,1
271,5446,5000,1.0892
272,5000,5000,1
273,5033,5000,1.0066
274,5000,5000,1
275,5000,5000,1
276,5000,5000,1
277,5000,5000,1
278,5000,5000,1
279,5230,5000,1.046
280,5000,5000,1
281,5342,5000,1.0684
282,5000,5000,1
283,5000,5000,1
284,5000,5000,1
285,5000,5000,1
286,6827,5000,1.3654
287,5251,5000,1.0502
288,5534,5000,1.1068
289,5000,5000,1
290,5354,5000,1.0708
291,5000,5000,1
292,5193,5000,1.0386
293,5721,5000,1.1442
294,5198,5000,1.0396
295,5000,5000,1
296,5050,5000,1.01
297,5173,5000,1.0346
298,5593,5000,1.1186
299,6045,5000,1.209
300,5740,5000,1.148
301,5000,5000,1
302,6333,5000,1.2666
303,5689,5000,1.1378
304,5000,5000,1
305,5000,5000,1
306,5000,5000,1
307,5123,5000,1.0246
308,5454,5000,1.0908
309,5000,5000,1
310,5000,5000,1
311,5000,5000,1
312,5000,5000,1
313,5379,5000,1.0758
314,5000,5000,1
315,5000,5000,1
316,6420,5000,1.284
317,5141,5000,1.0282
318,5295,5000,1.059
319,5000,5000,1
320,5063,5000,1.0126
321,5000,5000,1
322,5227,5000,1.0454
323,5164,5000,1.0328
324,5182,5000,1.0364
325,5025,5000,1.005
326,5000,5000,1
327,5988,5000,1.1976
328,5000,5000,1
329,5000,5000,1
330,5213,5000,1.0426
331,5000,5000,1
332,6905,5000,1.381
333,5000,5000,1
334,5302,5000,1.0604
335,5000,5000,1
336,5022,5000,1.0044
337,5000,5000,1
338,5000,5000,1
339,5604,5000,1.1208
340,6277,5000,1.2554
341,7906,5000,1.5812
342,5216,5000,1.0432
343,5256,5000,1.0512
344,5148,5000,1.0296
345,5000,5000,1
346,5000,5000,1
347,5000,5000,1
348,6745,5000,1.349
349,5000,5000,1
350,5000,5000,1
351,5507,5000,1.1014
352,5000,5000,1
353,5000,5000,1
354,5764,5000,1.1528
355,5816,5000,1.1632
356,5000,5000,1
357,6230,5000,1.246
358,5403,5000,1.0806
359,5000,5000,1
360,5933,5000,1.1866
361,5000,5000,1
362,5566,5000,1.1132
363,5000,5000,1
364,5221,5000,1.0442
365,5066,5000,1.0132
366,5142,5000,1.0284
367,5665,5000,1.133
368,5000,5000,1
369,6079,5000,1.2158
370,5000,5000,1
371,5080,5000,1.016
372,5000,5000,1
373,5000,5000,1
374,5443,5000,1.0886
375,5000,5000,1
376,5725,5000,1.145
377,6434,5000,1.2868
378,5692,5000,1.1384
379,5023,5000,1.0046
380,5000,5000,1
381,5000,5000,1
382,5009,5000,1.0018
383,5000,5000,1
384,5022,5000,1.0044
385,5000,5000,1
386,6946,5000,1.3892
387,5868,5000,1.1736
388,5000,5000,1
389,5069,5000,1.0138
390,5000,5000,1
391,6196,5000,1.2392
392,5713,5000,1.1426
393,5000,5000,1
394,5000,5000,1
395,5000,5000,1
396,5195,5000,1.039
397,5000,5000,1
398,5000,5000,1
399,5000,5000,1
400,5000,5000,1
401,5000,5000,1
402,5428,5000,1.0856
403,5000,5000,1
404,6040,5000,1.208
405,5000,5000,1
406,5000,5000,1
407,5662,5000,1.1324
408,6046,5000,1.2092
409,5000,5000,1
410,5000,5000,1
411,5000,5000,1
412,5146,5000,1.0292
413,5540,5000,1.108
414,5000,5000,1
415,5000,5000,1
416,5000,5000,1
417,5000,5000,1
418,6110,5000,1.222
419,5266,5000,1.0532
420,5000,5000,1
421,5314,5000,1.0628
422,5050,5000,1.01
423,5000,5000,1
424,6365,5000,1.273
425,5000,5000,1
426,5548,5000,1.1096
427,5726,5000,1.1452
428,5000,5000,1
429,5377,5000,1.0754
430,6136,5000,1.2272
431,5052,5000,1.0104
432,5046,5000,1.0092
433,5489,5000,1.0978
434,5490,5000,1.098
435,5168,5000,1.0336
436,5000,5000,1
437,6564,5000,1.3128
438,5621,5000,1.1242
439,5000,5000,1
440,5000,5000,1
441,5271,5000,1.0542
442,5000,5000,1
443,5000,5000,1
444,5713,5000,1.1426
445,5084,5000,1.0168
446,5000,5000,1
447,5000,5000,1
448,5000,5000,1
449,5000,5000,1
450,5566,5000,1.1132
451,6008,5000,1.2016
452,5005,5000,1.001
453,5434,5000,1.0868
454,5000,5000,1
455,5030,5000,1.006
456,5000,5000,1
457,5630,5000,1.126
458,5000,5000,1
459,5000,5000,1
460,6192,5000,1.2384
461,5000,5000,1
462,6088,5000,1.2176
463,5031,5000,1.0062
464,5750,5000,1.15
465,5000,5000,1
466,5000,5000,1
467,5000,5000,1
468,7105,5000,1.421
469,5000,5000,1
470,5000,5000,1
471,5037,5000,1.0074
472,5228,5000,1.0456
473,5000,5000,1
474,5173,5000,1.0346
475,5402,5000,1.0804
476,5134,5000,1.0268
477,5000,5000,1
478,5000,5000,1
479,5383,5000,1.0766
480,5000,5000,1
481,5000,5000,1
482,5000,5000,1
483,5126,5000,1.0252
484,5000,5000,1
485,5646,5000,1.1292
486,5430,5000,1.086
487,6225,5000,1.245
488,5000,5000,1
489,5000,5000,1
490,5000,5000,1
491,5644,5000,1.1288
492,5231,5000,1.0462
493,5000,5000,1
494,5341,5000,1.0682
495,5000,5000,1
496,6417,5000,1.2834
497,5679,5000,1.1358
498,5000,5000,1
499,5000,5000,1
500,5000,5000,1
501,5449,5000,1.0898
502,5164,5000,1.0328
503,5000,5000,1
504,5037,5000,1.0074
505,5000,5000,1
506,5741,5000,1.1482
507,5000,5000,1
508,5263,5000,1.0526
509,5502,5000,1.1004
510,5000,5000,1
511,5000,5000,1
512,5072,5000,1.0144
513,5000,5000,1
514,6274,5000,1.2548
515,5781,5000,1.1562
516,5000,5000,1
517,5000,5000,1
518,5000,5000,1
519,5113,5000,1.0226
520,5000,5000,1
521,6538,5000,1.3076
522,5521,5000,1.1042
523,5334,5000,1.0668
524,5000,5000,1
525,6810,5000,1.362
526,5537,5000,1.1074
527,5649,5000,1.1298
528,5000,5000,1
529,5000,5000,1
530,5093,5000,1.0186
531,5000,5000,1
532,5000,5000,1
533,6918,5000,1.3836
534,5000,5000,1
535,5000,5000,1
536,5000,5000,1
537,5650,5000,1.13
538,5000,5000,1
539,5000,5000,1
540,5000,5000,1
541,5000,5000,1
542,5584,5000,1.1168
543,5154,5000,1.0308
544,5100,5000,1.02
545,5000,5000,1
546,5000,5000,1
547,5354,5000,1.0708
548,5000,5000,1
549,5081,5000,1.0162
550,6115,5000,1.223
551,5049,5000,1.0098
552,5000,5000,1
553,6722,5000,1.3444
554,5000,5000,1
555,5000,5000,1
556,5000,5000,1
557,5000,5000,1
558,5000,5000,1
559,5472,5000,1.0944
560,5232,5000,1.0464
561,5000,5000,1
562,5000,5000,1
563,6015,5000,1.203
564,5000,5000,1
565,5000,5000,1
566,5000,5000,1
567,5789,5000,1.1578
568,5000,5000,1
569,5000,5000,1
570,5000,5000,1
571,5000,5000,1
572,7629,5000,1.5258
573,5516,5000,1.1032
574,5203,5000,1.0406
575,5000,5000,1
576,5227,5000,1.0454
577,5291,5000,1.0582
578,5000,5000,1
579,5000,5000,1
580,5000,5000,1
581,5000,5000,1
582,6000,5000,1.2
583,5087,5000,1.0174
584,6272,5000,1.2544
585,5000,5000,1
586,5000,5000,1
587,5000,5000,1
588,5081,5000,1.0162
589,5336,5000,1.0672
590,5220,5000,1.044
591,5000,5000,1
592,5594,5000,1.1188
593,5186,5000,1.0372
594,5000,5000,1
595,5576,5000,1.1152
596,5629,5000,1.1258
597,5511,5000,1.1022
598,5144,5000,1.0288
599,6681,5000,1.3362
600,5042,5000,1.0084
601,5000,5000,1
602,5000,5000,1
603,5000,5000,1
604,5000,5000,1
605,5801,5000,1.1602
606,5075,5000,1.015
607,5000,5000,1
608,5429,5000,1.0858
609,5336,5000,1.0672
610,5000,5000,1
611,5333,5000,1.0666
612,5000,5000,1
613,5976,5000,1.1952
614,5000,5000,1
615,5108,5000,1.0216
616,5000,5000,1
617,5389,5000,1.0778
618,5000,5000,1
619,5128,5000,1.0256
620,5000,5000,1
621,5715,5000,1.143
622,6189,5000,1.2378
623,5134,5000,1.0268
624,6041,5000,1.2082
625,5310,5000,1.062
626,5000,5000,1
627,5016,5000,1.0032
628,5211,5000,1.0422
629,5401,5000,1.0802
630,5324,5000,1.0648
631,5086,5000,1.0172
632,5261,5000,1.0522
633,5000,5000,1
634,5000,5000,1
635,5000,5000,1
636,5404,5000,1.0808
637,5256,5000,1.0512
638,6453,5000,1.2906
639,5000,5000,1
640,5703,5000,1.1406
641,5000,5000,1
642,5000,5000,1
643,5261,5000,1.0522
644,5011,5000,1.0022
645,6672,5000,1.3344
646,5705,5000,1.141
647,5000,5000,1
648,5177,5000,1.0354
649,5000,5000,1
650,5497,5000,1.0994
651,5804,5000,1.1608
652,5930,5000,1.186
653,6026,5000,1.2052
654,5972,5000,1.1944
655,5687,5000,1.1374
656,5000,5000,1
657,5000,5000,1
658,5000,5000,1
