#,H,OPT_H,H/OPT_H
1,107,100,1.07
2,100,100,1
3,110,100,1.1
4,106,100,1.06
5,101,100,1.01
6,100,100,1
7,100,100,1
8,119,100,1.19
9,100,100,1
10,100,100,1
11,100,100,1
12,117,100,1.17
13,102,100,1.02
14,100,100,1
15,110,100,1.1
16,100,100,1
17,105,100,1.05
18,100,100,1
19,100,100,1
20,133,100,1.33
21,100,100,1
22,149,100,1.49
23,100,100,1
24,118,100,1.18
25,105,100,1.05
26,116,100,1.16
27,100,100,1
28,106,100,1.06
29,102,100,1.02
30,106,100,1.06
31,117,100,1.17
32,100,100,1
33,105,100,1.05
34,100,100,1
35,126,100,1.26
36,105,100,1.05
37,100,100,1
38,110,100,1.1
39,100,100,1
40,105,100,1.05
41,100,100,1
42,109,100,1.09
43,100,100,1
44,100,100,1
45,100,100,1
46,100,100,1
47,100,100,1
48,100,100,1
49,100,100,1
50,104,100,1.04
51,110,100,1.1
52,100,100,1
53,115,100,1.15
54,112,100,1.12
55,137,100,1.37
56,100,100,1
57,100,100,1
58,104,100,1.04
59,100,100,1
60,101,100,1.01
61,100,100,1
62,126,100,1.26
63,100,100,1
64,100,100,1
65,139,100,1.39
66,100,100,1
67,100,100,1
68,100,100,1
69,101,100,1.01
70,126,100,1.26
71,106,100,1.06
72,100,100,1
73,100,100,1
74,100,100,1
75,115,100,1.15
76,107,100,1.07
77,100,100,1
78,100,100,1
79,100,100,1
80,100,100,1
81,102,100,1.02
82,106,100,1.06
83,100,100,1
84,107,100,1.07
85,104,100,1.04
86,119,100,1.19
87,106,100,1.06
88,126,100,1.26
89,111,100,1.11
90,100,100,1
91,100,100,1
92,100,100,1
93,121,100,1.21
94,109,100,1.09
95,100,100,1
96,100,100,1
97,108,100,1.08
98,100,100,1
99,102,100,1.02
100,110,100,1.1
101,100,100,1
102,109,100,1.09
103,105,100,1.05
104,100,100,1
105,109,100,1.09
106,100,100,1
107,107,100,1.07
108,122,100,1.22
109,100,100,1
110,100,100,1
111,109,100,1.09
112,100,100,1
113,100,100,1
114,101,100,1.01
115,100,100,1
116,101,100,1.01
117,111,100,1.11
118,104,100,1.04
119,130,100,1.3
120,114,100,1.14
121,100,100,1
122,110,100,1.1
123,100,100,1
124,100,100,1
125,106,100,1.06
126,108,100,1.08
127,100,100,1
128,100,100,1
129,100,100,1
130,112,100,1.12
131,100,100,1
132,100,100,1
133,111,100,1.11
134,100,100,1
135,117,100,1.17
136,121,100,1.21
137,102,100,1.02
138,101,100,1.01
139,103,100,1.03
140,116,100,1.16
141,112,100,1.12
142,113,100,1.13
143,102,100,1.02
144,107,100,1.07
145,100,100,1
146,101,100,1.01
147,106,100,1.06
148,100,100,1
149,100,100,1
150,111,100,1.11
151,100,100,1
152,100,100,1
153,109,100,1.09
154,123,100,1.23
155,100,100,1
156,100,100,1
157,100,100,1
158,100,100,1
159,108,100,1.08
160,129,100,1.29
161,100,100,1
162,117,100,1.17
163,100,100,1
164,112,100,1.12
165,108,100,1.08
166,102,100,1.02
167,100,100,1
168,123,100,1.23
169,100,100,1
170,100,100,1
171,108,100,1.08
172,108,100,1.08
173,103,100,1.03
174,106,100,1.06
175,121,100,1.21
176,100,100,1
177,118,100,1.18
178,111,100,1.11
179,116,100,1.16
180,100,100,1
181,100,100,1
182,100,100,1
183,106,100,1.06
184,100,100,1
185,100,100,1
186,100,100,1
187,108,100,1.08
188,100,100,1
189,103,100,1.03
190,100,100,1
191,116,100,1.16
192,100,100,1
193,111,100,1.11
194,124,100,1.24
195,105,100,1.05
196,100,100,1
197,131,100,1.31
198,100,100,1
199,117,100,1.17
200,100,100,1
201,100,100,1
202,102,100,1.02
203,103,100,1.03
204,114,100,1.14
205,101,100,1.01
206,119,100,1.19
207,106,100,1.06
208,124,100,1.24
209,107,100,1.07
210,102,100,1.02
211,100,100,1
212,100,100,1
213,100,100,1
214,100,100,1
215,100,100,1
216,100,100,1
217,100,100,1
218,100,100,1
219,107,100,1.07
220,107,100,1.07
221,127,100,1.27
222,147,100,1.47
223,119,100,1.19
224,110,100,1.1
225,100,100,1
226,139,100,1.39
227,100,100,1
228,108,100,1.08
229,100,100,1
230,121,100,1.21
231,109,100,1.09
232,118,100,1.18
233,110,100,1.1
234,108,100,1.08
235,100,100,1
236,100,100,1
237,100,100,1
238,118,100,1.18
239,100,100,1
240,110,100,1.1
241,108,100,1.08
242,100,100,1
243,139,100,1.39
244,106,100,1.06
245,108,100,1.08
246,103,100,1.03
247,100,100,1
248,100,100,1
249,102,100,1.02
250,100,100,1
251,100,100,1
252,100,100,1
253,109,100,1.09
254,107,100,1.07
255,100,100,1
256,100,100,1
257,107,100,1.07
258,104,100,1.04
259,100,100,1
260,116,100,1.16
261,100,100,1
262,100,100,1
263,109,100,1.09
264,100,100,1
265,107,100,1.07
266,100,100,1
267,100,100,1
268,100,100,1
269,102,100,1.02
270,100,100,1
271,100,100,1
272,100,100,1
273,100,100,1
274,119,100,1.19
275,107,100,1.07
276,100,100,1
277,110,100,1.1
278,100,100,1
279,100,100,1
280,100,100,1
281,100,100,1
282,116,100,1.16
283,117,100,1.17
284,140,100,1.4
285,101,100,1.01
286,113,100,1.13
287,100,100,1
288,100,100,1
289,100,100,1
290,100,100,1
291,100,100,1
292,100,100,1
293,103,100,1.03
294,110,100,1.1
295,110,100,1.1
296,100,100,1
297,102,100,1.02
298,100,100,1
299,100,100,1
300,109,100,1.09
301,133,100,1.33
302,115,100,1.15
303,116,100,1.16
304,121,100,1.21
305,116,100,1.16
306,100,100,1
307,101,100,1.01
308,102,100,1.02
309,110,100,1.1
310,100,100,1
311,101,100,1.01
312,100,100,1
313,108,100,1.08
314,108,100,1.08
315,126,100,1.26
316,118,100,1.18
317,100,100,1
318,100,100,1
319,100,100,1
320,100,100,1
321,101,100,1.01
322,102,100,1.02
323,130,100,1.3
324,113,100,1.13
325,104,100,1.04
326,100,100,1
327,109,100,1.09
328,100,100,1
329,100,100,1
330,100,100,1
331,101,100,1.01
332,105,100,1.05
333,100,100,1
334,106,100,1.06
335,129,100,1.29
336,102,100,1.02
337,100,100,1
338,100,100,1
339,100,100,1
340,100,100,1
341,111,100,1.11
342,111,100,1.11
343,100,100,1
344,109,100,1.09
345,100,100,1
346,109,100,1.09
347,100,100,1
348,103,100,1.03
349,100,100,1
350,100,100,1
351,100,100,1
352,108,100,1.08
353,108,100,1.08
354,109,100,1.09
355,100,100,1
356,106,100,1.06
357,100,100,1
358,100,100,1
359,100,100,1
360,100,100,1
361,109,100,1.09
362,100,100,1
363,100,100,1
364,119,100,1.19
365,108,100,1.08
366,121,100,1.21
367,100,100,1
368,111,100,1.11
369,100,100,1
370,100,100,1
371,100,100,1
372,110,100,1.1
373,100,100,1
374,105,100,1.05
375,100,100,1
376,114,100,1.14
377,115,100,1.15
378,128,100,1.28
379,101,100,1.01
380,103,100,1.03
381,100,100,1
382,118,100,1.18
383,120,100,1.2
384,100,100,1
385,107,100,1.07
386,100,100,1
387,100,100,1
388,100,100,1
389,102,100,1.02
390,154,100,1.54
391,103,100,1.03
392,100,100,1
393,100,100,1
394,100,100,1
395,100,100,1
396,101,100,1.01
397,108,100,1.08
398,116,100,1.16
399,109,100,1.09
400,100,100,1
401,125,100,1.25
402,100,100,1
403,100,100,1
404,100,100,1
405,153,100,1.53
406,164,100,1.64
407,117,100,1.17
408,139,100,1.39
409,100,100,1
410,100,100,1
411,100,100,1
412,102,100,1.02
413,106,100,1.06
414,124,100,1.24
415,100,100,1
416,142,100,1.42
417,100,100,1
418,109,100,1.09
419,106,100,1.06
420,112,100,1.12
421,132,100,1.32
422,100,100,1
423,127,100,1.27
424,100,100,1
425,117,100,1.17
426,100,100,1
427,101,100,1.01
428,116,100,1.16
429,121,100,1.21
430,100,100,1
431,117,100,1.17
432,100,100,1
433,100,100,1
434,100,100,1
435,102,100,1.02
436,117,100,1.17
437,100,100,1
438,104,100,1.04
439,109,100,1.09
440,103,100,1.03
441,100,100,1
442,113,100,1.13
443,100,100,1
444,100,100,1
445,100,100,1
446,100,100,1
447,111,100,1.11
448,100,100,1
449,101,100,1.01
450,106,100,1.06
451,100,100,1
452,111,100,1.11
453,100,100,1
454,100,100,1
455,100,100,1
456,104,100,1.04
457,100,100,1
458,100,100,1
459,100,100,1
460,109,100,1.09
461,100,100,1
462,101,100,1.01
463,114,100,1.14
464,100,100,1
465,100,100,1
466,109,100,1.09
467,100,100,1
468,125,100,1.25
469,100,100,1
470,128,100,1.28
471,100,100,1
472,100,100,1
473,122,100,1.22
474,113,100,1.13
475,102,100,1.02
476,118,100,1.18
477,112,100,1.12
478,132,100,1.32
479,100,100,1
480,100,100,1
481,100,100,1
482,108,100,1.08
483,126,100,1.26
484,108,100,1.08
485,100,100,1
486,105,100,1.05
487,100,100,1
488,100,100,1
489,119,100,1.19
490,116,100,1.16
491,118,100,1.18
492,100,100,1
493,100,100,1
494,100,100,1
495,114,100,1.14
496,102,100,1.02
497,105,100,1.05
498,100,100,1
499,100,100,1
500,116,100,1.16
501,107,100,1.07
502,100,100,1
503,100,100,1
504,117,100,1.17
505,100,100,1
506,105,100,1.05
507,100,100,1
508,115,100,1.15
509,121,100,1.21
510,102,100,1.02
511,110,100,1.1
512,108,100,1.08
513,134,100,1.34
514,100,100,1
515,111,100,1.11
516,100,100,1
517,106,100,1.06
518,100,100,1
519,100,100,1
520,101,100,1.01
521,111,100,1.11
522,100,100,1
523,114,100,1.14
524,100,100,1
525,108,100,1.08
526,102,100,1.02
527,135,100,1.35
528,115,100,1.15
529,111,100,1.11
530,107,100,1.07
531,128,100,1.28
532,100,100,1
533,100,100,1
534,116,100,1.16
535,100,100,1
536,100,100,1
537,100,100,1
538,108,100,1.08
539,114,100,1.14
540,116,100,1.16
541,101,100,1.01
542,121,100,1.21
543,103,100,1.03
544,100,100,1
545,100,100,1
546,100,100,1
547,101,100,1.01
548,105,100,1.05
549,120,100,1.2
550,100,100,1
551,105,100,1.05
552,160,100,1.6
553,100,100,1
554,107,100,1.07
555,105,100,1.05
556,100,100,1
557,104,100,1.04
558,108,100,1.08
559,100,100,1
560,123,100,1.23
561,100,100,1
562,100,100,1
563,123,100,1.23
564,100,100,1
565,108,100,1.08
566,104,100,1.04
567,125,100,1.25
568,100,100,1
569,100,100,1
570,127,100,1.27
571,131,100,1.31
572,100,100,1
573,111,100,1.11
574,109,100,1.09
575,105,100,1.05
576,100,100,1
577,100,100,1
578,100,100,1
579,100,100,1
580,104,100,1.04
581,100,100,1
582,118,100,1.18
583,100,100,1
584,100,100,1
585,109,100,1.09
586,124,100,1.24
587,100,100,1
588,100,100,1
589,117,100,1.17
590,100,100,1
591,100,100,1
592,100,100,1
593,113,100,1.13
594,113,100,1.13
